Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Nick Hundley,28,58,225,204,14,32,7,1,3,22,0,3,15,56,0.157,0.219,0.245,0.464,31,50,4,2,1,3,2
2,1B,Yonder Alonso*,25,155,619,549,47,150,39,0,9,62,3,0,62,101,0.273,0.348,0.393,0.741,110,216,14,3,1,4,9
3,2B,Logan Forsythe,25,91,350,315,45,86,13,3,6,26,8,2,28,57,0.273,0.343,0.39,0.733,107,123,6,6,0,1,0
4,SS,Everth Cabrera#,25,115,449,398,49,98,19,3,2,24,44,4,43,110,0.246,0.324,0.324,0.648,85,129,3,3,5,0,2
5,3B,Chase Headley#,28,161,699,604,95,173,31,2,31,115,17,6,86,157,0.286,0.376,0.498,0.875,145,301,7,4,0,5,2
6,LF,Carlos Quentin,29,86,340,284,44,74,21,0,16,46,0,1,36,41,0.261,0.374,0.504,0.877,146,143,6,17,0,3,2
7,CF,Cameron Maybin,25,147,561,507,67,123,20,5,8,45,26,7,44,110,0.243,0.306,0.349,0.656,85,177,12,4,3,3,1
8,RF,Will Venable*,29,148,470,417,62,110,26,8,9,45,24,6,41,94,0.264,0.335,0.429,0.765,115,179,2,5,5,2,2
9,OF,Chris Denorfia,31,130,382,348,56,102,19,6,8,36,13,5,27,52,0.293,0.345,0.451,0.796,123,157,9,2,2,3,0
10,LF,Jesus Guzman,28,120,321,287,32,71,18,2,9,48,3,3,29,71,0.247,0.319,0.418,0.737,107,120,2,2,1,2,3
11,2B,Alexi Amarista*,23,105,300,275,35,66,15,5,5,32,8,4,17,42,0.24,0.282,0.385,0.668,87,106,2,0,6,2,1
12,C,Yasmani Grandal#,23,60,226,192,28,57,7,1,8,36,0,0,31,39,0.297,0.394,0.469,0.863,143,90,8,1,0,2,1
13,C,John Baker*,31,63,214,193,17,46,8,0,0,14,2,1,20,41,0.238,0.31,0.28,0.59,69,54,4,0,1,0,2
14,OF,Mark Kotsay*,36,82,156,143,9,37,8,0,2,14,0,2,11,14,0.259,0.314,0.357,0.671,90,51,2,1,0,1,1
15,SS,Andy Parrino#,26,55,138,116,9,24,5,0,1,6,1,0,17,35,0.207,0.316,0.276,0.592,70,32,2,2,2,1,7
16,2B,Orlando Hudson#,34,35,131,123,11,26,0,5,1,11,3,2,8,27,0.211,0.26,0.317,0.577,62,39,3,0,0,0,0
17,SS,Jason Bartlett,32,29,98,83,8,11,5,0,0,4,0,0,12,27,0.133,0.24,0.193,0.432,25,16,6,0,2,1,0
18,OF,Jeremy Hermida*,28,13,27,24,2,6,1,1,0,2,1,0,3,7,0.25,0.333,0.375,0.708,101,9,0,0,0,0,1
19,UT,James Darnell,25,7,19,17,1,4,1,0,1,1,0,0,2,2,0.235,0.316,0.471,0.786,119,8,3,0,0,0,0
20,OF,Blake Tekotte*,25,11,15,15,0,2,0,0,0,0,1,0,0,4,0.133,0.133,0.133,0.267,-24,2,0,0,0,0,0
21,C,Eddy Rodriguez,26,2,7,5,1,1,0,0,1,1,0,0,2,3,0.2,0.429,0.8,1.229,238,4,0,0,0,0,0
22,UT,Kyle Blanks,25,4,6,5,0,1,0,0,0,0,0,0,1,2,0.2,0.333,0.2,0.533,56,1,0,0,0,0,0
23,C,Ali Solis,24,5,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
24,P,Clayton Richard*,28,34,79,69,5,6,2,0,1,7,0,0,1,40,0.087,0.099,0.159,0.258,-28,11,1,0,8,1,0
25,P,Edinson Volquez,28,31,62,56,2,4,1,0,0,1,0,0,1,29,0.071,0.088,0.089,0.177,-50,5,0,0,5,0,0
26,P,Jason Marquis*,33,16,36,32,3,9,3,0,0,1,0,0,0,12,0.281,0.303,0.375,0.678,91,12,0,1,3,0,0
27,P,Eric Stults*,32,18,34,28,3,7,2,0,0,3,0,0,0,10,0.25,0.25,0.321,0.571,61,9,1,0,6,0,0
28,P,Anthony Bass,24,24,31,31,3,4,0,1,0,5,1,0,0,13,0.129,0.129,0.194,0.323,-10,6,0,0,0,0,0
29,P,Ross Ohlendorf,29,12,17,16,2,1,0,0,0,0,0,0,0,8,0.063,0.063,0.063,0.125,-64,1,1,0,1,0,0
30,P,Andrew Werner*,25,8,14,12,0,1,0,0,0,0,0,0,0,4,0.083,0.083,0.083,0.167,-52,1,1,0,2,0,0
31,P,Kip Wells,35,8,14,12,1,1,0,0,0,0,0,0,0,5,0.083,0.154,0.083,0.237,-30,1,0,1,1,0,0
32,P,Jeff Suppan,37,8,14,10,0,1,0,0,0,0,0,0,1,1,0.1,0.182,0.1,0.282,-17,1,0,0,3,0,0
33,P,Cory Luebke,27,5,12,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,-100,0,0,0,1,0,0
34,P,Casey Kelly,22,7,12,10,0,2,0,0,0,0,0,0,0,4,0.2,0.2,0.2,0.4,14,2,1,0,2,0,0
35,P,Joe Wieland,22,5,8,8,0,2,1,0,0,2,0,0,0,2,0.25,0.25,0.375,0.625,74,3,0,0,0,0,0
36,P,Andrew Cashner,25,33,8,7,0,1,0,0,0,0,0,0,1,2,0.143,0.25,0.143,0.393,16,1,0,0,0,0,0
37,P,Miles Mikolas,23,25,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
38,P,Tim Stauffer,30,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0
39,P,Micah Owings,29,6,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
40,P,Brad Boxberger,24,23,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,1,0,0
41,P,Nick Vincent,25,27,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
42,P,Cory Burns,24,17,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
43,P,Alex Hinshaw*,29,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
44,P,Dustin Moseley,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
45,P,Luke Gregerson*,28,74,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
46,P,Joe Thatcher*,30,51,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Josh Spence*,24,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Tommy Layne*,27,26,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Dale Thayer,31,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Matt Palmer,33,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Huston Street,28,37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Brad Brach,26,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Ernesto Frieri,26,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,27.5,162,6112,5422,651,1339,272,43,121,610,155,46,539,1238,0.247,0.319,0.38,0.699,97,2060,100,54,63,34,36
,,Rank in 16 NL teams,,,,13,10,12,9,3,14,,2,13,2,8,11,8,13,11,,13,,4,,13,
,,Non-Pitcher Totals,27.4,162,5757,5108,632,1300,263,42,120,590,154,46,535,1094,0.255,0.329,0.393,0.722,104,2007,95,52,29,33,36
,,Pitcher Totals,28.5,162,355,314,19,39,9,1,1,20,1,0,4,144,0.124,0.14,0.169,0.309,-13,53,5,2,34,1,0
