Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,38,Josh Tomlin,us US,Pitcher,*,,35,R,R,"6' 1""",190,19-Oct-84,2006
2,0,Charlie Morton,us US,Pitcher,*,,36,R,R,"6' 5""",215,12-Nov-83,2002
3,0,Kyle Muller,us US,Pitcher,*,,22,R,L,"6' 7""",250,7-Oct-97,2016
4,15,Sean Newcomb,us US,Pitcher,*,,27,L,L,"6' 5""",255,12-Jun-93,2012
5,67,Phil Pfeifer,us US,Pitcher,*,,27,L,L,"6' 0""",200,15-Jul-92,2012
6,51,Will Smith,us US,Pitcher,*,,30,R,L,"6' 5""",255,10-Jul-89,2008
7,0,Drew Smyly,us US,Pitcher,*,,31,L,L,"6' 2""",188,13-Jun-89,2011
8,61,Chad Sobotka,us US,Pitcher,*,,26,R,R,"6' 7""",225,10-Jul-93,2012
9,40,Mike Soroka,ca CA,Pitcher,*,,22,R,R,"6' 5""",225,4-Aug-97,2015
10,33,A.J. Minter,us US,Pitcher,*,,26,L,L,"6' 0""",215,2-Sep-93,2013
11,62,Touki Toussaint,us US,Pitcher,*,,24,R,R,"6' 3""",215,20-Jun-96,2014
12,63,Jeremy Walker,us US,Pitcher,*,,25,R,R,"6' 5""",235,12-Jun-95,2014
13,71,Jacob Webb,us US,Pitcher,*,,26,R,R,"6' 2""",210,15-Aug-93,2014
14,65,Patrick Weigel,us US,Pitcher,*,,25,R,R,"6' 6""",240,8-Jul-94,2013
15,46,Bryse Wilson,us US,Pitcher,*,,22,R,R,"6' 2""",225,20-Dec-97,2016
16,30,Kyle Wright,us US,Pitcher,*,,24,R,R,"6' 4""",215,2-Oct-95,2015
17,73,Huascar Ynoa,do DO,Pitcher,*,,22,R,R,"6' 2""",220,28-May-98,2015
18,55,Chris Martin,us US,Pitcher,*,,34,R,R,"6' 8""",225,2-Jun-86,2010
19,77,Luke Jackson,us US,Pitcher,*,,28,R,R,"6' 2""",210,24-Aug-91,2011
20,48,Ian Anderson,us US,Pitcher,*,,22,R,R,"6' 3""",170,2-May-98,2016
21,54,Max Fried,us US,Pitcher,*,,26,L,L,"6' 4""",190,18-Jan-94,2012
22,64,Tucker Davidson,us US,Pitcher,*,,24,L,L,"6' 2""",215,25-Mar-96,2016
23,68,Tyler Matzek,us US,Pitcher,*,,29,L,L,"6' 3""",230,19-Oct-90,2010
24,69,Jasseel De La Cruz,do DO,Pitcher,*,,23,R,R,"6' 1""",195,26-Jun-97,2015
25,75,Grant Dayton,us US,Pitcher,*,,32,L,L,"6' 2""",210,25-Nov-87,2010
26,23,Adam Duvall,us US,Position,*,,31,R,R,"6' 1""",215,4-Sep-88,2010
27,1,Ozzie Albies,cw CW,Position,*,,23,S,R,"5' 8""",165,7-Jan-97,2014
28,0,Abraham Almonte,do DO,Position,*,,31,S,R,"5' 10""",223,27-Jun-89,2006
29,17,Johan Camargo,pa PA,Position,*,,26,S,R,"6' 0""",195,13-Dec-93,2012
30,60,William Contreras,ve VE,Position,*,,22,R,R,"6' 0""",180,24-Dec-97,2015
31,16,Travis d'Arnaud,us US,Position,*,,31,R,R,"6' 2""",210,10-Feb-89,2007
32,7,Dansby Swanson,us US,Position,*,,26,R,R,"6' 1""",190,11-Feb-94,2013
33,5,Freddie Freeman,us US,Position,*,,30,L,R,"6' 5""",220,12-Sep-89,2007
34,27,Austin Riley,us US,Position,*,,23,R,R,"6' 3""",240,2-Apr-97,2015
35,11,Ender Inciarte,ve VE,Position,*,,29,L,L,"5' 11""",190,29-Oct-90,2008
36,14,Cristian Pache,do DO,Position,*,,21,R,R,"6' 2""",215,19-Nov-98,2016
37,12,Alex Jackson,us US,Position,*,,24,R,R,"6' 2""",215,25-Dec-95,2014
38,13,Ronald Acuna Jr.,ve VE,Position,*,,22,R,R,"6' 0""",205,18-Dec-97,2015
39,0,Jack Mayfield,us US,Position,*,,29,R,R,"5' 11""",190,30-Sep-90,2011
