Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,0,Taylor Guilbeau,us US,Pitcher,*,,27,L,L,"6' 4""",190,12-May-93,2012
2,31,Caleb Smith,us US,Pitcher,*,,28,R,L,"6' 0""",206,28-Jul-91,2011
3,46,Riley Smith,us US,Pitcher,*,,25,R,R,"6' 1""",175,15-Jan-95,2016
4,0,Matt Peacock,us US,Pitcher,*,,26,R,R,"6' 1""",185,27-Feb-94,2014
5,64,Keury Mella,do DO,Pitcher,*,,26,R,R,"6' 2""",230,2-Aug-93,2012
6,62,Humberto Mejia,pa PA,Pitcher,*,,23,R,R,"6' 4""",235,3-Mar-97,2015
7,48,Corbin Martin,us US,Pitcher,*,,24,R,R,"6' 2""",228,28-Dec-95,2015
8,50,Yoan López,cu CU,Pitcher,*,,27,R,R,"6' 3""",205,2-Jan-93,2011
9,29,Merrill Kelly,us US,Pitcher,*,,31,R,R,"6' 2""",210,14-Oct-88,2010
10,24,Luke Weaver,us US,Pitcher,*,,26,R,R,"6' 2""",185,21-Aug-93,2012
11,37,Kevin Ginkel,us US,Pitcher,*,,26,L,R,"6' 4""",235,24-Mar-94,2015
12,23,Zac Gallen,us US,Pitcher,*,,24,R,R,"6' 2""",198,3-Aug-95,2014
13,57,Taylor Widener,us US,Pitcher,*,,25,L,R,"6' 0""",230,24-Oct-94,2014
14,0,Rogelio Armenteros,cu CU,Pitcher,*,,26,R,R,"6' 1""",243,30-Jun-94,2011
15,59,Jeremy Beasley,us US,Pitcher,*,,24,R,R,"6' 3""",245,20-Nov-95,2017
16,47,Travis Bergen,us US,Pitcher,*,,26,L,L,"6' 1""",215,8-Oct-93,2013
17,0,J.B. Bukauskas,us US,Pitcher,*,,23,R,R,"6' 0""",210,11-Oct-96,2015
18,40,Madison Bumgarner,us US,Pitcher,*,,30,R,L,"6' 4""",255,1-Aug-89,2008
19,45,Taylor Clarke,us US,Pitcher,*,,27,R,R,"6' 4""",220,13-May-93,2012
20,58,Stefan Crichton,us US,Pitcher,*,,28,R,R,"6' 3""",205,29-Feb-92,2011
21,34,Jon Duplantier,us US,Pitcher,*,,25,L,R,"6' 4""",240,11-Jul-94,2014
22,49,Alex Young,us US,Pitcher,*,,26,L,L,"6' 3""",220,9-Sep-93,2013
23,0,Luis Frias,do DO,Pitcher,*,,22,R,R,"6' 3""",180,23-May-98,2016
24,53,Christian Walker,us US,Position,*,,29,R,R,"6' 0""",210,28-Mar-91,2011
25,21,Stephen Vogt,us US,Position,*,,35,L,R,"6' 0""",211,1-Nov-84,2007
26,13,Nick Ahmed,us US,Position,*,,30,R,R,"6' 2""",200,15-Mar-90,2010
27,12,Daulton Varsho,us US,Position,*,,23,L,R,"5' 10""",205,2-Jul-96,2015
28,0,Andy Young,us US,Position,*,,26,R,R,"6' 0""",200,10-May-94,2015
29,19,Josh VanMeter,us US,Position,*,,25,L,R,"5' 11""",190,10-Mar-95,2013
30,26,Pavin Smith,us US,Position,*,,24,L,L,"6' 2""",210,6-Feb-96,2015
31,10,Josh Rojas,us US,Position,*,,26,L,R,"6' 1""",200,30-Jun-94,2015
32,0,Geraldo Perdomo,do DO,Position,*,,20,S,R,"6' 2""",185,22-Oct-99,2017
33,6,David Peralta,ve VE,Position,*,,32,L,L,"6' 1""",220,14-Aug-87,2006
34,27,Wyatt Mathisen,us US,Position,*,,26,R,R,"6' 0""",210,30-Dec-93,2012
35,4,Ketel Marte,do DO,Position,*,,26,S,R,"6' 1""",210,12-Oct-93,2011
36,16,Tim Locastro,us US,Position,*,,27,R,R,"6' 1""",195,14-Jul-92,2013
37,18,Carson Kelly,us US,Position,*,,25,R,R,"6' 2""",210,14-Jul-94,2012
38,0,Stuart Fairchild,us US,Position,*,,24,R,R,"6' 0""",200,17-Mar-96,2015
39,5,Eduardo Escobar,ve VE,Position,*,,31,S,R,"5' 10""",210,5-Jan-89,2006
40,56,Kole Calhoun,us US,Position,*,,32,L,L,"5' 10""",210,14-Oct-87,2010
