Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,85,Bruce Zimmermann,us US,Pitcher,*,,25,L,L,"6' 2""",215,9-Feb-95,2014
2,66,Tanner Scott,us US,Pitcher,*,,25,R,L,"6' 2""",220,22-Jul-94,2013
3,47,John Means,us US,Pitcher,*,,27,L,L,"6' 3""",230,24-Apr-93,2013
4,45,Keegan Akin,us US,Pitcher,*,,25,L,L,"6' 0""",225,1-Apr-95,2014
5,0,Isaac Mattson,us US,Pitcher,*,,24,R,R,"6' 2""",205,14-Jul-95,2015
6,54,Cole Sulser,us US,Pitcher,*,,30,R,R,"6' 1""",190,12-Mar-90,2011
7,55,Dillon Tate,us US,Pitcher,*,,26,R,R,"6' 2""",195,1-May-94,2013
8,0,Zac Lowther,us US,Pitcher,*,,24,L,L,"6' 2""",235,30-Apr-96,2015
9,48,Jorge Lopez,pr PR,Pitcher,*,,27,R,R,"6' 2""",205,10-Feb-93,2011
10,70,Travis Lakins,us US,Pitcher,*,,26,R,R,"6' 1""",215,29-Jun-94,2014
11,64,Dean Kremer,us US,Pitcher,*,,24,R,R,"6' 3""",185,7-Jan-96,2016
12,56,Hunter Harvey,us US,Pitcher,*,,25,R,R,"6' 3""",210,9-Dec-94,2013
13,51,Paul Fry,us US,Pitcher,*,,27,L,L,"6' 0""",205,26-Jul-92,2013
14,73,Thomas Eshelman,us US,Pitcher,*,,26,R,R,"6' 3""",210,20-Jun-94,2013
15,62,Cesar Valdez,do DO,Pitcher,*,,35,R,R,"6' 2""",200,17-Mar-85,2006
16,0,Alexander Wells,au AU,Pitcher,*,,23,L,L,"6' 1""",190,27-Feb-97,2016
17,17,Alex Cobb,us US,Pitcher,*,,32,R,R,"6' 3""",205,7-Oct-87,2006
18,0,Michael Baumann,us US,Pitcher,*,,24,R,R,"6' 4""",225,10-Sep-95,2015
19,43,Shawn Armstrong,us US,Pitcher,*,,29,R,R,"6' 2""",225,11-Sep-90,2011
20,74,Pat Valaika,us US,Position,*,,27,R,R,"5' 11""",210,9-Sep-92,2011
21,87,Ramon Urias,mx MX,Position,*,,26,R,R,"5' 11""",180,3-Jun-94,2011
22,61,Austin Wynns,us US,Position,*,,29,R,R,"6' 2""",215,10-Dec-90,2011
23,24,DJ Stewart,us US,Position,*,,26,L,R,"6' 0""",230,30-Nov-93,2013
24,15,Chance Sisco,us US,Position,*,,25,L,R,"6' 2""",195,24-Feb-95,2013
25,28,Pedro Severino,do DO,Position,*,,26,R,R,"6' 1""",220,20-Jul-93,2011
26,0,Ryan McKenna,us US,Position,*,,23,R,R,"5' 11""",185,14-Feb-97,2015
27,25,Anthony Santander,ve VE,Position,*,,25,S,R,"6' 2""",225,19-Oct-94,2012
28,0,Yolmer Sanchez,ve VE,Position,*,,28,S,R,"5' 8""",205,29-Jun-92,2009
29,14,Rio Ruiz,us US,Position,*,,26,L,R,"6' 1""",215,22-May-94,2012
30,0,Tyler Nevin,us US,Position,*,,23,R,R,"6' 4""",225,29-May-97,2015
31,31,Cedric Mullins,us US,Position,*,,25,S,L,"5' 8""",175,1-Oct-94,2015
32,6,Ryan Mountcastle,us US,Position,*,,23,R,R,"6' 3""",210,18-Feb-97,2015
33,1,Richie Martin,us US,Position,*,,25,R,R,"5' 11""",190,22-Dec-94,2013
34,16,Trey Mancini,us US,Position,*,,28,R,R,"6' 4""",230,18-Mar-92,2011
35,11,José Iglesias,cu CU,Position,*,,30,R,R,"5' 11""",195,5-Jan-90,2006
36,21,Austin Hays,us US,Position,*,,24,R,R,"6' 0""",205,5-Jul-95,2015
37,0,Yusniel Díaz,cu CU,Position,*,,23,R,R,"6' 1""",210,7-Oct-96,2014
38,19,Chris Davis,us US,Position,*,,34,L,R,"6' 3""",245,17-Mar-86,2006
39,0,Rylan Bannon,us US,Position,*,,24,R,R,"5' 8""",180,22-Apr-96,2015
40,57,Hanser Alberto,do DO,Position,*,,27,R,R,"5' 11""",215,17-Oct-92,2010
