Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,72,Josh Taylor,us US,Pitcher,*,,27,L,L,"6' 5""",245,2-Mar-93,2014
2,57,Eduardo Rodriguez,ve VE,Pitcher,*,,27,L,L,"6' 2""",231,7-Apr-93,2010
3,37,Nick Pivetta,ca CA,Pitcher,*,,27,R,R,"6' 5""",214,14-Feb-93,2013
4,41,Chris Sale,us US,Pitcher,*,,31,L,L,"6' 6""",183,30-Mar-89,2010
5,0,Connor Seabold,us US,Pitcher,*,,24,R,R,"6' 2""",190,24-Jan-96,2015
6,22,Chris Mazza,us US,Pitcher,*,,30,R,R,"6' 4""",190,17-Oct-89,2012
7,0,Bryan Mata,ve VE,Pitcher,*,,21,R,R,"6' 3""",240,3-May-99,2016
8,59,Jeffrey Springs,us US,Pitcher,*,,27,L,L,"6' 3""",218,20-Sep-92,2012
9,89,Tanner Houck,us US,Pitcher,*,,24,R,R,"6' 5""",230,29-Jun-96,2015
10,63,Darwinzon Hernandez,ve VE,Pitcher,*,,23,L,L,"6' 2""",255,17-Dec-96,2014
11,79,Robert Stock,us US,Pitcher,*,,30,L,R,"6' 1""",214,21-Nov-89,2009
12,0,Jay Groome,us US,Pitcher,*,,21,L,L,"6' 6""",220,23-Aug-98,2016
13,17,Nathan Eovaldi,us US,Pitcher,*,,30,R,R,"6' 2""",217,13-Feb-90,2008
14,71,Phillips Valdez,do DO,Pitcher,*,,28,R,R,"6' 2""",160,16-Nov-91,2009
15,31,Austin Brice,hk HK,Pitcher,*,,28,R,R,"6' 4""",238,19-Jun-92,2010
16,48,Colten Brewer,us US,Pitcher,*,,27,R,R,"6' 4""",222,29-Oct-92,2012
17,70,Ryan Brasier,us US,Pitcher,*,,32,R,R,"6' 0""",227,26-Aug-87,2007
18,64,Marcus Walden,us US,Pitcher,*,,31,R,R,"5' 10""",198,13-Sep-88,2007
19,0,Eduard Bazardo,ve VE,Pitcher,*,,24,R,R,"6' 0""",155,1-Sep-95,2015
20,32,Matt Barnes,us US,Pitcher,*,,30,R,R,"6' 4""",208,17-Jun-90,2010
21,0,Yoan Aybar,do DO,Pitcher,*,,22,L,L,"6' 2""",210,3-Jul-97,2014
22,0,Connor Wong,us US,Position,*,,24,R,R,"6' 1""",178,19-May-96,2015
23,7,Christian Vazquez,pr PR,Position,*,,29,R,R,"5' 9""",205,21-Aug-90,2008
24,99,Alex Verdugo,us US,Position,*,,24,L,L,"6' 0""",192,15-May-96,2014
25,0,Marcus Wilson,us US,Position,*,,23,R,R,"6' 2""",198,15-Aug-96,2014
26,0,Jeisson Rosario,do DO,Position,*,,20,L,L,"6' 1""",191,22-Oct-99,2017
27,36,Jonathan Arauz,pa PA,Position,*,,21,S,R,"6' 0""",195,3-Aug-98,2015
28,0,Hudson Potts,us US,Position,*,,21,R,R,"6' 3""",218,28-Oct-98,2016
29,25,Kevin Plawecki,us US,Position,*,,29,R,R,"6' 2""",208,26-Feb-91,2011
30,15,Dustin Pedroia,us US,Position,*,,36,R,R,"5' 9""",170,17-Aug-83,2004
31,60,Yairo Munoz,do DO,Position,*,,25,R,R,"5' 11""",200,23-Jan-95,2012
32,28,J.D. Martinez,us US,Position,*,,32,R,R,"6' 3""",230,21-Aug-87,2009
33,0,Deivy Grullon,do DO,Position,*,,24,R,R,"5' 11""",240,17-Feb-96,2013
34,11,Rafael Devers,do DO,Position,*,,23,L,R,"6' 0""",240,24-Oct-96,2014
35,29,Bobby Dalbec,us US,Position,*,,25,R,R,"6' 4""",227,29-Jun-95,2014
36,23,Michael Chavis,us US,Position,*,,24,R,R,"5' 10""",210,11-Aug-95,2014
37,43,C.J. Chatham,us US,Position,*,,25,R,R,"6' 4""",185,22-Dec-94,2014
38,2,Xander Bogaerts,aw AW,Position,*,,27,R,R,"6' 2""",218,1-Oct-92,2010
39,16,Andrew Benintendi,us US,Position,*,,25,L,L,"5' 9""",180,6-Jul-94,2014
40,39,Christian Arroyo,us US,Position,*,,25,R,R,"6' 1""",210,30-May-95,2013
