Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,60,Jason Adam,us US,Pitcher,*,,28,R,R,"6' 3""",229,4-Aug-91,2011
2,43,Dan Winkler,us US,Pitcher,*,,30,R,R,"6' 3""",205,2-Feb-90,2011
3,38,Brad Wieck,us US,Pitcher,*,,28,L,L,"6' 8""",257,14-Oct-91,2014
4,50,Rowan Wick,ca CA,Pitcher,*,,27,L,R,"6' 3""",234,9-Nov-92,2011
5,51,Duane Underwood Jr.,us US,Pitcher,*,,25,R,R,"6' 2""",210,20-Jul-94,2012
6,0,Keegan Thompson,us US,Pitcher,*,,25,R,R,"6' 1""",210,13-Mar-95,2014
7,52,Ryan Tepera,us US,Pitcher,*,,32,R,R,"6' 1""",195,3-Nov-87,2009
8,35,Justin Steele,us US,Pitcher,*,,24,L,L,"6' 2""",205,11-Jul-95,2014
9,56,Kyle Ryan,us US,Pitcher,*,,28,L,L,"6' 5""",215,25-Sep-91,2010
10,77,Manuel Rodriguez,mx MX,Pitcher,*,,23,R,R,"5' 11""",210,6-Aug-96,2014
11,20,Colin Rea,us US,Pitcher,*,,29,R,R,"6' 5""",235,1-Jul-90,2010
12,57,James Norwood,us US,Pitcher,*,,26,R,R,"6' 2""",215,24-Dec-93,2012
13,30,Alec Mills,us US,Pitcher,*,,28,R,R,"6' 4""",205,30-Nov-91,2011
14,72,Tyson Miller,us US,Pitcher,*,,24,R,R,"6' 4""",225,29-Jul-95,2014
15,61,Brailyn Marquez,do DO,Pitcher,*,,21,L,L,"6' 4""",185,30-Jan-99,2016
16,36,Dillon Maples,us US,Pitcher,*,,28,R,R,"6' 2""",230,9-May-92,2012
17,0,Cory Abbott,us US,Pitcher,*,,24,R,R,"6' 2""",220,20-Sep-95,2015
18,73,Adbert Alzolay,ve VE,Pitcher,*,,25,R,R,"6' 1""",208,1-Mar-95,2013
19,28,Kyle Hendricks,us US,Pitcher,*,,30,R,R,"6' 3""",190,7-Dec-89,2010
20,11,Yu Darvish,jp JP,Pitcher,*,,33,R,R,"6' 5""",220,16-Aug-86,2005
21,46,Craig Kimbrel,us US,Pitcher,*,,32,R,R,"6' 0""",215,28-May-88,2008
22,7,Victor Caratini,pr PR,Position,*,,26,S,R,"6' 1""",215,17-Aug-93,2013
23,5,Albert Almora,us US,Position,*,,26,R,R,"6' 2""",190,16-Apr-94,2012
24,16,Ildemaro Vargas,ve VE,Position,*,,28,S,R,"6' 0""",180,16-Jul-91,2008
25,75,Miguel Amaya,pa PA,Position,*,,21,R,R,"6' 2""",230,9-Mar-99,2016
26,9,Javier Baez,pr PR,Position,*,,27,R,R,"6' 0""",190,1-Dec-92,2011
27,13,David Bote,us US,Position,*,,27,R,R,"6' 1""",205,7-Apr-93,2012
28,17,Kris Bryant,us US,Position,*,,28,R,R,"6' 5""",230,4-Jan-92,2011
29,12,Kyle Schwarber,us US,Position,*,,27,L,R,"6' 0""",225,5-Mar-93,2012
30,0,Max Schrock,us US,Position,*,,25,L,R,"5' 9""",185,12-Oct-94,2013
31,40,Willson Contreras,ve VE,Position,*,,28,R,R,"6' 1""",225,13-May-92,2009
32,44,Anthony Rizzo,us US,Position,*,,30,L,L,"6' 3""",240,8-Aug-89,2007
33,8,Ian Happ,us US,Position,*,,25,S,R,"6' 0""",205,12-Aug-94,2013
34,0,Christopher Morel,do DO,Position,*,,21,R,R,"6' 0""",140,24-Jun-99,2017
35,22,Jason Heyward,us US,Position,*,,30,L,L,"6' 5""",240,9-Aug-89,2007
36,53,Jose Martinez,ve VE,Position,*,,31,R,R,"6' 6""",215,25-Jul-88,2006
37,2,Nico Hoerner,us US,Position,*,,23,R,R,"6' 1""",200,13-May-97,2016
