Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,67,Bernardo Flores Jr.,us US,Pitcher,*,,24,L,L,"6' 4""",190,23-Aug-95,2014
2,34,Michael Kopech,us US,Pitcher,*,,24,R,R,"6' 3""",225,30-Apr-96,2014
3,60,Dallas Keuchel,us US,Pitcher,*,,32,L,L,"6' 2""",220,1-Jan-88,2009
4,0,Tyler Johnson,us US,Pitcher,*,,24,R,R,"6' 3""",210,21-Aug-95,2015
5,58,Jimmy Lambert,us US,Pitcher,*,,25,R,R,"6' 2""",190,18-Nov-94,2014
6,65,Codi Heuer,us US,Pitcher,*,,23,R,R,"6' 5""",190,3-Jul-96,2016
7,40,Reynaldo Lopez,do DO,Pitcher,*,,26,R,R,"6' 1""",220,4-Jan-94,2012
8,55,Carlos Rodon,us US,Pitcher,*,,27,L,L,"6' 3""",250,10-Dec-92,2012
9,27,Lucas Giolito,us US,Pitcher,*,,25,R,R,"6' 6""",245,14-Jul-94,2012
10,66,Jose Ruiz,ve VE,Pitcher,*,,25,R,R,"6' 1""",250,21-Oct-94,2012
11,57,Jace Fry,us US,Pitcher,*,,26,L,L,"6' 1""",220,9-Jul-93,2012
12,63,Matt Foster,us US,Pitcher,*,,25,R,R,"6' 0""",210,27-Jan-95,2016
13,51,Dane Dunning,us US,Pitcher,*,,25,R,R,"6' 4""",225,20-Dec-94,2014
14,45,Garrett Crochet,us US,Pitcher,*,,21,L,L,"6' 6""",218,21-Jun-99,2018
15,50,Jimmy Cordero,do DO,Pitcher,*,,28,R,R,"6' 4""",235,19-Oct-91,2012
16,43,Evan Marshall,us US,Pitcher,*,,30,R,R,"6' 2""",235,18-Apr-90,2011
17,84,Dylan Cease,us US,Pitcher,*,,24,R,R,"6' 2""",200,28-Dec-95,2015
18,53,Jonathan Stiever,us US,Pitcher,*,,23,R,R,"6' 2""",215,12-May-97,2016
19,62,Zack Burdi,us US,Pitcher,*,,25,R,R,"6' 3""",210,9-Mar-95,2014
20,39,Aaron Bummer,us US,Pitcher,*,,26,L,L,"6' 3""",215,21-Sep-93,2012
21,0,Emilio Vargas,do DO,Pitcher,*,,23,R,R,"6' 3""",230,12-Aug-96,2013
22,20,Danny Mendick,us US,Position,*,,26,R,R,"5' 10""",195,28-Sep-93,2014
23,49,Yermin Mercedes,do DO,Position,*,,27,R,R,"5' 11""",235,14-Feb-93,2011
24,74,Eloy Jimenez,do DO,Position,*,,23,R,R,"6' 4""",235,27-Nov-96,2014
25,10,Yoan Moncada,cu CU,Position,*,,25,S,R,"6' 2""",225,27-May-95,2012
26,88,Luis Robert,cu CU,Position,*,,22,R,R,"6' 2""",210,3-Aug-97,2013
27,76,Blake Rutherford,us US,Position,*,,23,L,R,"6' 3""",210,2-May-97,2016
28,0,Gavin Sheets,us US,Position,*,,24,L,L,"6' 5""",245,23-Apr-96,2015
29,44,Seby Zavala,us US,Position,*,,26,R,R,"5' 11""",210,28-Aug-93,2012
30,30,Nomar Mazara,do DO,Position,*,,25,L,L,"6' 4""",215,26-Apr-95,2012
31,1,Nick Madrigal,us US,Position,*,,23,R,R,"5' 8""",175,5-Mar-97,2015
32,79,José Abreu,cu CU,Position,*,,33,R,R,"6' 3""",250,29-Jan-87,2003
33,24,Yasmani Grandal,cu CU,Position,*,,31,S,R,"6' 2""",230,8-Nov-88,2010
34,37,Luis Gonzalez,mx MX,Position,*,,24,L,L,"6' 1""",180,10-Sep-95,2015
35,28,Leury Garcia,do DO,Position,*,,29,S,R,"5' 8""",185,18-Mar-91,2008
36,15,Adam Engel,us US,Position,*,,28,R,R,"6' 2""",220,9-Dec-91,2011
37,38,Zack Collins,us US,Position,*,,25,L,R,"6' 3""",230,6-Feb-95,2014
38,0,Jake Burger,us US,Position,*,,24,R,R,"6' 2""",210,10-Apr-96,2015
39,7,Tim Anderson,us US,Position,*,,27,R,R,"6' 1""",185,23-Jun-93,2013
40,77,Micker Adolfo,do DO,Position,*,,23,R,R,"6' 4""",240,11-Sep-96,2014
