Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,32,R.J. Alaniz,us US,Pitcher,*,,29,R,R,"6' 4""",220,14-Jun-91,2010
2,55,Robert Stephenson,us US,Pitcher,*,,27,R,R,"6' 3""",205,24-Feb-93,2012
3,0,Jared Solomon,us US,Pitcher,*,,23,R,R,"6' 2""",192,10-Jun-97,2016
4,39,Lucas Sims,us US,Pitcher,*,,26,R,R,"6' 2""",225,10-May-94,2012
5,74,Tony Santillan,us US,Pitcher,*,,23,R,R,"6' 3""",240,15-Apr-97,2015
6,47,Sal Romano,us US,Pitcher,*,,26,L,R,"6' 5""",255,12-Oct-93,2012
7,0,Riley O'Brien,us US,Pitcher,*,,25,R,R,"6' 4""",170,6-Feb-95,2017
8,22,Wade Miley,us US,Pitcher,*,,33,L,L,"6' 2""",220,13-Nov-86,2008
9,30,Tyler Mahle,us US,Pitcher,*,,25,R,R,"6' 3""",210,29-Sep-94,2013
10,21,Michael Lorenzen,us US,Pitcher,*,,28,R,R,"6' 3""",220,4-Jan-92,2011
11,26,Raisel Iglesias,cu CU,Pitcher,*,,30,R,R,"6' 2""",190,4-Jan-90,2010
12,73,Ryan Hendrix,us US,Pitcher,*,,25,R,R,"6' 3""",215,16-Dec-94,2014
13,0,Vladimir Gutiérrez,cu CU,Pitcher,*,,24,R,R,"6' 1""",190,18-Sep-95,2013
14,54,Sonny Gray,us US,Pitcher,*,,30,R,R,"5' 10""",195,7-Nov-89,2011
15,87,Jose De Leon,pr PR,Pitcher,*,,27,R,R,"6' 2""",215,7-Aug-92,2011
16,58,Luis Castillo,do DO,Pitcher,*,,27,R,R,"6' 2""",200,12-Dec-92,2012
17,23,Archie Bradley,us US,Pitcher,*,,27,R,R,"6' 4""",215,10-Aug-92,2011
18,70,Tejay Antone,us US,Pitcher,*,,26,R,R,"6' 4""",230,5-Dec-93,2013
19,50,Amir Garrett,us US,Pitcher,*,,28,R,L,"6' 5""",239,3-May-92,2012
20,0,Brandon Bailey,us US,Pitcher,*,,25,R,R,"5' 10""",195,19-Oct-94,2014
21,34,Mark Payton,us US,Position,*,,28,L,L,"5' 8""",180,7-Dec-91,2011
22,33,Jesse Winker,us US,Position,*,,26,L,L,"6' 3""",215,17-Aug-93,2012
23,19,Joey Votto,ca CA,Position,*,,36,L,R,"6' 2""",220,10-Sep-83,2002
24,7,Eugenio Suarez,ve VE,Position,*,,28,R,R,"5' 11""",213,18-Jul-91,2009
25,37,Tyler Stephenson,us US,Position,*,,23,R,R,"6' 4""",225,16-Aug-96,2015
26,4,Shogo Akiyama,jp JP,Position,*,,32,L,R,"6' 0""",190,16-Apr-88,2011
27,44,Aristides Aquino,do DO,Position,*,,26,R,R,"6' 4""",220,22-Apr-94,2011
28,15,Nick Senzel,us US,Position,*,,25,R,R,"6' 1""",205,29-Jun-95,2014
29,16,Tucker Barnhart,us US,Position,*,,29,L,R,"5' 11""",192,7-Jan-91,2009
30,0,Alex Blandino,us US,Position,*,,27,R,R,"6' 0""",190,6-Nov-92,2012
31,9,Mike Moustakas,us US,Position,*,,31,L,R,"6' 0""",225,11-Sep-88,2007
32,12,Curt Casali,us US,Position,*,,31,R,R,"6' 2""",220,9-Nov-88,2010
33,2,Nicholas Castellanos,us US,Position,*,,28,R,R,"6' 4""",203,4-Mar-92,2010
34,52,Kyle Farmer,us US,Position,*,,29,R,R,"6' 0""",205,17-Aug-90,2011
35,38,José García,cu CU,Position,*,,22,R,R,"6' 2""",175,5-Apr-98,2016
36,17,Brian Goodwin,us US,Position,*,,29,L,R,"6' 0""",200,2-Nov-90,2010
