Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,54,Carlos Estevez,do DO,Pitcher,*,,27,R,R,"6' 6""",277,28-Dec-92,2011
2,44,Jose Mujica,ve VE,Pitcher,*,,24,R,R,"6' 2""",249,29-Jun-96,2013
3,48,German Marquez,ve VE,Pitcher,*,,25,R,R,"6' 1""",230,22-Feb-95,2012
4,74,Justin Lawrence,pa PA,Pitcher,*,,25,R,R,"6' 3""",213,25-Nov-94,2014
5,23,Peter Lambert,us US,Pitcher,*,,23,R,R,"6' 2""",208,18-Apr-97,2015
6,40,Tyler Kinley,us US,Pitcher,*,,29,R,R,"6' 4""",220,31-Jan-91,2013
7,34,Jeff Hoffman,us US,Pitcher,*,,27,R,R,"6' 5""",215,8-Jan-93,2012
8,45,Scott Oberg,us US,Pitcher,*,,30,R,R,"6' 2""",207,13-Mar-90,2012
9,55,Jon Gray,us US,Pitcher,*,,28,R,R,"6' 4""",225,5-Nov-91,2012
10,50,Chi Chi Gonzalez,us US,Pitcher,*,,28,R,R,"6' 3""",210,15-Jan-92,2011
11,60,Mychal Givens,us US,Pitcher,*,,30,R,R,"6' 0""",230,13-May-90,2010
12,0,Lucas Gilbreath,us US,Pitcher,*,,24,L,L,"6' 1""",185,5-Mar-96,2015
13,0,Helcris Olivarez,do DO,Pitcher,*,,19,L,L,"6' 2""",192,8-Aug-00,2017
14,21,Kyle Freeland,us US,Pitcher,*,,27,L,L,"6' 4""",204,14-May-93,2012
15,59,Tommy Doyle,us US,Pitcher,*,,24,R,R,"6' 6""",244,1-May-96,2015
16,64,Phillip Diehl,us US,Pitcher,*,,25,L,L,"6' 2""",169,16-Jul-94,2013
17,37,Jairo Diaz,ve VE,Pitcher,*,,29,R,R,"6' 0""",254,27-May-91,2008
18,46,Antonio Santos,do DO,Pitcher,*,,23,R,R,"6' 3""",223,6-Oct-96,2015
19,49,Antonio Senzatela,ve VE,Pitcher,*,,25,R,R,"6' 1""",236,21-Jan-95,2012
20,38,Ryan Castellani,us US,Pitcher,*,,24,R,R,"6' 4""",218,1-Apr-96,2014
21,0,Ben Bowden,us US,Pitcher,*,,25,L,L,"6' 4""",249,21-Oct-94,2014
22,52,Daniel Bard,us US,Pitcher,*,,35,R,R,"6' 4""",197,25-Jun-85,2007
23,62,Yency Almonte,us US,Pitcher,*,,26,S,R,"6' 5""",223,4-Jun-94,2012
24,14,Tony Wolters,us US,Position,*,,28,L,R,"5' 10""",207,9-Jun-92,2010
25,7,Brendan Rodgers,us US,Position,*,,23,R,R,"6' 0""",204,9-Aug-96,2015
26,27,Trevor Story,us US,Position,*,,27,R,R,"6' 2""",213,15-Nov-92,2011
27,3,Dom Nunez,us US,Position,*,,25,L,R,"6' 1""",212,17-Jan-95,2013
28,15,Raimel Tapia,do DO,Position,*,,26,L,L,"6' 3""",175,4-Feb-94,2011
29,0,Colton Welker,us US,Position,*,,22,R,R,"6' 1""",235,9-Oct-97,2016
30,24,Ryan McMahon,us US,Position,*,,25,L,R,"6' 2""",219,14-Dec-94,2013
31,22,Sam Hilliard,us US,Position,*,,26,L,L,"6' 5""",236,21-Feb-94,2015
32,1,Garrett Hampson,us US,Position,*,,25,R,R,"5' 11""",196,10-Oct-94,2014
33,8,Josh Fuentes,us US,Position,*,,27,R,R,"6' 2""",209,19-Feb-93,2014
34,35,Elias Diaz,ve VE,Position,*,,29,R,R,"6' 1""",223,17-Nov-90,2009
35,20,Ian Desmond,us US,Position,*,,34,R,R,"6' 3""",217,20-Sep-85,2004
36,2,Yonathan Daza,ve VE,Position,*,,26,R,R,"6' 2""",207,28-Feb-94,2011
37,26,David Dahl,us US,Position,*,,26,L,R,"6' 2""",197,1-Apr-94,2012
38,0,Bret Boswell,us US,Position,*,,25,L,R,"6' 0""",198,4-Oct-94,2015
39,19,Charlie Blackmon,us US,Position,*,,33,L,L,"6' 3""",221,1-Jul-86,2008
40,28,Nolan Arenado,us US,Position,*,,29,R,R,"6' 2""",215,16-Apr-91,2009
