Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,70,Tyler Alexander,us US,Pitcher,*,,25,R,L,"6' 2""",200,14-Jul-94,2014
2,0,Joey Wentz,us US,Pitcher,*,,22,L,L,"6' 5""",220,6-Oct-97,2016
3,56,Spencer Turnbull,us US,Pitcher,*,,27,R,R,"6' 3""",211,18-Sep-92,2012
4,65,Gregory Soto,do DO,Pitcher,*,,25,L,L,"6' 1""",236,11-Feb-95,2013
5,29,Tarik Skubal,us US,Pitcher,*,,23,L,L,"6' 3""",215,20-Nov-96,2015
6,71,John Schreiber,us US,Pitcher,*,,26,R,R,"6' 2""",210,5-Mar-94,2016
7,58,Franklin Perez,ve VE,Pitcher,*,,22,R,R,"6' 3""",197,6-Dec-97,2015
8,44,Daniel Norris,us US,Pitcher,*,,27,L,L,"6' 2""",185,25-Apr-93,2012
9,12,Casey Mize,us US,Pitcher,*,,23,R,R,"6' 3""",220,1-May-97,2016
10,0,Matt Manning,us US,Pitcher,*,,22,R,R,"6' 6""",195,28-Jan-98,2016
11,0,Alex Lange,us US,Pitcher,*,,24,R,R,"6' 3""",197,2-Oct-95,2015
12,77,Joe Jimenez,pr PR,Pitcher,*,,25,R,R,"6' 3""",272,17-Jan-95,2013
13,51,Rony Garcia,do DO,Pitcher,*,,22,R,R,"6' 3""",200,19-Dec-97,2016
14,33,Bryan Garcia,us US,Pitcher,*,,25,R,R,"6' 1""",215,19-Apr-95,2014
15,36,Kyle Funkhouser,us US,Pitcher,*,,26,R,R,"6' 3""",225,16-Mar-94,2013
16,45,Buck Farmer,us US,Pitcher,*,,29,L,R,"6' 4""",232,20-Feb-91,2011
17,48,Matthew Boyd,us US,Pitcher,*,,29,L,L,"6' 3""",234,2-Feb-91,2011
18,37,Beau Burrows,us US,Pitcher,*,,23,R,R,"6' 2""",210,18-Sep-96,2015
19,38,Anthony Castro,ve VE,Pitcher,*,,25,R,R,"6' 2""",182,13-Apr-95,2012
20,67,Jose Cisnero,do DO,Pitcher,*,,31,R,R,"6' 3""",245,11-Apr-89,2008
21,32,Michael Fulmer,us US,Pitcher,*,,27,R,R,"6' 3""",246,15-Mar-93,2011
22,0,Alex Faedo,us US,Pitcher,*,,24,R,R,"6' 5""",225,12-Nov-95,2015
23,22,Victor Reyes,ve VE,Position,*,,25,S,R,"6' 5""",194,5-Oct-94,2012
24,40,Sergio Alcantara,do DO,Position,*,,23,S,R,"5' 9""",151,10-Jul-96,2013
25,55,Troy Stokes Jr.,us US,Position,*,,24,R,R,"5' 9""",200,2-Feb-96,2014
26,14,Christin Stewart,us US,Position,*,,26,L,R,"6' 0""",220,10-Dec-93,2013
27,24,Miguel Cabrera,ve VE,Position,*,,37,R,R,"6' 4""",249,18-Apr-83,2000
28,0,Zack Short,us US,Position,*,,25,R,R,"5' 10""",180,29-May-95,2014
29,41,Daz Cameron,us US,Position,*,,23,R,R,"6' 2""",185,15-Jan-97,2015
30,34,Jake Rogers,us US,Position,*,,25,R,R,"6' 1""",192,18-Apr-95,2014
31,13,Eric Haase,us US,Position,*,,27,R,R,"5' 10""",210,18-Dec-92,2011
32,46,Jeimer Candelario,us US,Position,*,,26,S,R,"6' 1""",221,24-Nov-93,2011
33,19,Isaac Paredes,mx MX,Position,*,,21,R,R,"5' 11""",213,18-Feb-99,2016
34,28,Niko Goodrum,us US,Position,*,,28,S,R,"6' 3""",198,28-Feb-92,2010
35,30,Harold Castro,ve VE,Position,*,,26,L,R,"5' 10""",151,30-Nov-93,2011
36,49,Willi Castro,pr PR,Position,*,,23,S,R,"6' 1""",170,24-Apr-97,2014
37,17,Grayson Greiner,us US,Position,*,,27,R,R,"6' 6""",239,11-Oct-92,2012
38,21,JaCoby Jones,us US,Position,*,,28,R,R,"6' 2""",201,10-May-92,2011
39,50,Travis Demeritte,us US,Position,*,,25,R,R,"6' 0""",180,30-Sep-94,2013
40,54,Derek Hill,us US,Position,*,,24,R,R,"6' 2""",190,30-Dec-95,2014
