Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,67,Cy Sneed,us US,Pitcher,*,,27,R,R,"6' 4""",213,1-Oct-92,2012
2,66,Bryan Abreu,do DO,Pitcher,*,,23,R,R,"6' 1""",225,22-Apr-97,2014
3,52,Cionel Pérez,cu CU,Pitcher,*,,24,L,L,"5' 11""",162,21-Apr-96,2013
4,55,Ryan Pressly,us US,Pitcher,*,,31,R,R,"6' 2""",206,15-Dec-88,2008
5,51,Austin Pruitt,us US,Pitcher,*,,30,R,R,"5' 10""",185,31-Aug-89,2012
6,58,Brooks Raley,us US,Pitcher,*,,32,L,L,"6' 3""",200,29-Jun-88,2009
7,68,Nivaldo Rodriguez,ve VE,Pitcher,*,,23,R,R,"6' 1""",214,16-Apr-97,2016
8,70,Andre Scrubb,us US,Pitcher,*,,25,R,R,"6' 4""",270,13-Jan-95,2014
9,38,Joe Smith,us US,Pitcher,*,,36,R,R,"6' 2""",211,22-Mar-84,2006
10,60,Enoli Paredes,do DO,Pitcher,*,,24,R,R,"5' 11""",171,28-Sep-95,2016
11,0,Jairo Solis,ve VE,Pitcher,*,,20,R,R,"6' 2""",160,22-Dec-99,2017
12,0,Peter Solomon,us US,Pitcher,*,,23,R,R,"6' 4""",201,16-Aug-96,2015
13,62,Blake Taylor,us US,Pitcher,*,,24,L,L,"6' 3""",220,17-Aug-95,2013
14,65,Jose Urquidy,mx MX,Pitcher,*,,25,R,R,"6' 0""",217,1-May-95,2015
15,59,Framber Valdez,do DO,Pitcher,*,,26,L,L,"5' 11""",239,19-Nov-93,2015
16,35,Justin Verlander,us US,Pitcher,*,,37,R,R,"6' 5""",235,20-Feb-83,2005
17,0,Forrest Whitley,us US,Pitcher,*,,22,R,R,"6' 7""",238,15-Sep-97,2016
18,64,Brandon Bielak,us US,Pitcher,*,,24,L,R,"6' 2""",208,2-Apr-96,2015
19,53,Cristian Javier,do DO,Pitcher,*,,23,R,R,"6' 1""",213,26-Mar-97,2015
20,39,Josh James,us US,Pitcher,*,,27,R,R,"6' 3""",234,8-Mar-93,2014
21,0,Tyler Ivey,us US,Pitcher,*,,24,R,R,"6' 4""",195,12-May-96,2016
22,21,Zack Greinke,us US,Pitcher,*,,36,R,R,"6' 2""",200,21-Oct-83,2002
23,77,Luis Garcia,ve VE,Pitcher,*,,23,R,R,"6' 1""",244,13-Dec-96,2017
24,43,Lance McCullers Jr.,us US,Pitcher,*,,26,L,R,"6' 1""",202,2-Oct-93,2012
25,72,Humberto Castellanos,mx MX,Pitcher,*,,22,R,R,"5' 11""",218,3-Apr-98,2016
26,16,Aledmys Díaz,cu CU,Position,*,,29,R,R,"6' 1""",195,1-Aug-90,2007
27,27,Jose Altuve,ve VE,Position,*,,30,R,R,"5' 6""",166,6-May-90,2007
28,44,Yordan Álvarez,cu CU,Position,*,,23,L,R,"6' 5""",225,27-Jun-97,2013
29,2,Alex Bregman,us US,Position,*,,26,R,R,"6' 0""",192,30-Mar-94,2013
30,30,Kyle Tucker,us US,Position,*,,23,L,R,"6' 4""",199,17-Jan-97,2015
31,31,Abraham Toro,ca CA,Position,*,,23,S,R,"6' 0""",206,20-Dec-96,2016
32,11,Garrett Stubbs,us US,Position,*,,27,L,R,"5' 10""",170,26-May-93,2012
33,3,Myles Straw,us US,Position,*,,25,R,R,"5' 10""",178,17-Oct-94,2015
34,1,Carlos Correa,pr PR,Position,*,,25,R,R,"6' 4""",220,22-Sep-94,2012
35,10,Yuli Gurriel,cu CU,Position,*,,36,R,R,"6' 0""",215,9-Jun-84,2001
36,28,Taylor Jones,us US,Position,*,,26,R,R,"6' 7""",230,6-Dec-93,2013
37,15,Martin Maldonado,pr PR,Position,*,,33,R,R,"6' 0""",230,16-Aug-86,2004
38,20,Chas McCormick,us US,Position,*,,25,R,L,"6' 0""",208,19-Apr-95,2014
39,0,Freudis Nova,do DO,Position,*,,20,R,R,"6' 1""",180,12-Jan-00,2017
