Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,64,Scott Blewett,us US,Pitcher,*,,24,R,R,"6' 6""",245,10-Apr-96,2014
2,53,Tyler Zuber,us US,Pitcher,*,,25,R,R,"5' 11""",175,16-Jun-95,2014
3,45,Kyle Zimmer,us US,Pitcher,*,,28,R,R,"6' 3""",225,13-Sep-91,2011
4,0,Daniel Tillo,us US,Pitcher,*,,24,L,L,"6' 5""",215,13-Jun-96,2016
5,63,Josh Staumont,us US,Pitcher,*,,26,R,R,"6' 3""",205,21-Dec-93,2014
6,51,Brady Singer,us US,Pitcher,*,,23,R,R,"6' 5""",210,4-Aug-96,2016
7,0,Carlos Sanabria,ve VE,Pitcher,*,,23,R,R,"6' 3""",165,24-Jan-97,2014
8,68,Jake Newberry,us US,Pitcher,*,,25,R,R,"6' 2""",205,20-Nov-94,2012
9,55,Richard Lovelady,us US,Pitcher,*,,24,L,L,"6' 0""",185,7-Jul-95,2015
10,56,Brad Keller,us US,Pitcher,*,,24,R,R,"6' 5""",250,27-Jul-95,2013
11,65,Jakob Junis,us US,Pitcher,*,,27,R,R,"6' 3""",220,16-Sep-92,2012
12,71,Carlos Hernandez,ve VE,Pitcher,*,,23,R,R,"6' 4""",250,11-Mar-97,2017
13,32,Jesse Hahn,us US,Pitcher,*,,30,R,R,"6' 5""",210,30-Jul-89,2012
14,58,Scott Barlow,us US,Pitcher,*,,27,R,R,"6' 3""",215,18-Dec-92,2011
15,0,Ronald Bolanos,cu CU,Pitcher,*,,23,R,R,"6' 2""",230,23-Aug-96,2017
16,60,Foster Griffin,us US,Pitcher,*,,24,R,L,"6' 3""",225,27-Jul-95,2014
17,50,Kris Bubic,us US,Pitcher,*,,22,L,L,"6' 3""",220,19-Aug-97,2016
18,41,Danny Duffy,us US,Pitcher,*,,31,L,L,"6' 3""",185,21-Dec-88,2007
19,66,Ryan O'Hearn,us US,Position,*,,26,L,L,"6' 3""",220,26-Jul-93,2012
20,72,Meibrys Viloria,co CO,Position,*,,23,L,R,"5' 11""",225,15-Feb-97,2014
21,19,Franchy Cordero,do DO,Position,*,,25,L,R,"6' 3""",226,2-Sep-94,2012
22,11,Bubba Starling,us US,Position,*,,27,R,R,"6' 4""",215,3-Aug-92,2012
23,12,Jorge Soler,cu CU,Position,*,,28,R,R,"6' 4""",235,25-Feb-92,2009
24,17,Hunter Dozier,us US,Position,*,,28,R,R,"6' 4""",220,22-Aug-91,2011
25,0,Sebastian Rivero,ve VE,Position,*,,21,R,R,"6' 1""",195,16-Nov-98,2016
26,13,Salvador Perez,ve VE,Position,*,,30,R,R,"6' 3""",250,10-May-90,2007
27,14,Edward Olivares,ve VE,Position,*,,24,R,R,"6' 2""",188,6-Mar-96,2014
28,75,Jeison Guzman,do DO,Position,*,,21,S,R,"6' 2""",200,8-Oct-98,2016
29,0,Lucius Fox,bs BS,Position,*,,22,S,R,"6' 1""",185,2-Jul-97,2016
30,27,Adalberto Mondesi,us US,Position,*,,24,S,R,"6' 1""",200,27-Jul-95,2012
31,15,Whit Merrifield,us US,Position,*,,31,R,R,"6' 1""",195,24-Jan-89,2010
32,26,Erick Mejia,do DO,Position,*,,25,S,R,"5' 11""",155,9-Nov-94,2012
33,9,Ryan McBroom,us US,Position,*,,28,R,L,"6' 3""",225,9-Apr-92,2011
34,7,Maikel Franco,do DO,Position,*,,27,R,R,"6' 1""",225,26-Aug-92,2010
35,1,Nicky Lopez,us US,Position,*,,25,L,R,"5' 11""",175,13-Mar-95,2014
36,0,Khalil Lee,us US,Position,*,,22,L,L,"5' 10""",170,26-Jun-98,2016
37,36,Cam Gallagher,us US,Position,*,,27,R,R,"6' 3""",230,6-Dec-92,2011
38,16,Kelvin Gutierrez,do DO,Position,*,,25,R,R,"6' 2""",220,28-Aug-94,2013
39,0,Nick Heath,us US,Position,*,,26,L,L,"6' 1""",190,27-Nov-93,2014
