Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,85,Dustin May,us US,Pitcher,*,,22,R,R,"6' 6""",180,6-Sep-97,2016
2,66,Mitch White,us US,Pitcher,*,,25,R,R,"6' 3""",210,28-Dec-94,2015
3,7,Julio Urias,mx MX,Pitcher,*,,23,L,L,"6' 0""",225,12-Aug-96,2013
4,0,Edwin Uceta,do DO,Pitcher,*,,22,R,R,"6' 0""",155,9-Jan-98,2016
5,76,Josh Sborz,us US,Pitcher,*,,26,R,R,"6' 3""",215,17-Dec-93,2013
6,77,Dennis Santana,do DO,Pitcher,*,,24,R,R,"6' 2""",190,12-Apr-96,2013
7,33,David Price,us US,Pitcher,*,,34,L,L,"6' 5""",215,26-Aug-85,2008
8,75,Scott Alexander,us US,Pitcher,*,,30,L,L,"6' 2""",195,10-Jul-89,2010
9,56,Adam Kolarek,us US,Pitcher,*,,31,L,L,"6' 3""",215,14-Jan-89,2010
10,22,Clayton Kershaw,us US,Pitcher,*,,32,L,L,"6' 4""",225,19-Mar-88,2006
11,17,Joe Kelly,us US,Pitcher,*,,32,R,R,"6' 1""",174,9-Jun-88,2009
12,74,Kenley Jansen,cw CW,Pitcher,*,,32,S,R,"6' 5""",265,30-Sep-87,2005
13,48,Brusdar Graterol,ve VE,Pitcher,*,,21,R,R,"6' 1""",265,26-Aug-98,2015
14,81,Victor Gonzalez,mx MX,Pitcher,*,,24,L,L,"6' 0""",180,16-Nov-95,2013
15,46,Tony Gonsolin,us US,Pitcher,*,,26,R,R,"6' 3""",205,14-May-94,2013
16,51,Dylan Floro,us US,Pitcher,*,,29,L,R,"6' 2""",203,27-Dec-90,2011
17,0,Andre Jackson,us US,Pitcher,*,,24,R,R,"6' 3""",210,1-May-96,2015
18,64,Caleb Ferguson,us US,Pitcher,*,,23,R,L,"6' 3""",226,2-Jul-96,2015
19,0,Gerardo Carrillo,mx MX,Pitcher,*,,21,R,R,"5' 10""",154,13-Sep-98,2017
20,21,Walker Buehler,us US,Pitcher,*,,25,R,R,"6' 2""",185,28-Jul-94,2013
21,15,Austin Barnes,us US,Position,*,,30,R,R,"5' 10""",187,28-Dec-89,2011
22,45,Matt Beaty,us US,Position,*,,27,L,R,"6' 0""",215,28-Apr-93,2012
23,35,Cody Bellinger,us US,Position,*,,24,L,L,"6' 4""",203,13-Jul-95,2013
24,3,Chris Taylor,us US,Position,*,,29,R,R,"6' 1""",196,29-Aug-90,2011
25,16,Will Smith,us US,Position,*,,25,R,R,"5' 10""",195,28-Mar-95,2014
26,5,Corey Seager,us US,Position,*,,26,L,R,"6' 4""",215,27-Apr-94,2012
27,50,Mookie Betts,us US,Position,*,,27,R,R,"5' 9""",180,7-Oct-92,2011
28,25,Keibert Ruiz,ve VE,Position,*,,21,S,R,"6' 0""",225,20-Jul-98,2015
29,43,Edwin Rios,pr PR,Position,*,,26,L,R,"6' 3""",220,21-Apr-94,2013
30,0,Zach Reks,us US,Position,*,,26,L,R,"6' 2""",190,12-Nov-93,2013
31,62,Luke Raley,us US,Position,*,,25,L,R,"6' 4""",235,19-Sep-94,2014
32,11,AJ Pollock,us US,Position,*,,32,R,R,"6' 1""",210,5-Dec-87,2009
33,70,DJ Peters,us US,Position,*,,24,R,R,"6' 6""",225,12-Dec-95,2016
34,13,Max Muncy,us US,Position,*,,29,L,R,"6' 0""",215,25-Aug-90,2010
35,8,Zach McKinstry,us US,Position,*,,25,L,R,"6' 0""",180,29-Apr-95,2015
36,9,Gavin Lux,us US,Position,*,,22,L,R,"6' 2""",190,23-Nov-97,2016
