Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,75,Jorge Guzman,do DO,Pitcher,*,,24,R,R,"6' 1""",246,28-Jan-96,2015
2,50,Jordan Yamamoto,us US,Pitcher,*,,24,R,R,"6' 0""",185,11-May-96,2014
3,35,Alex Vesia,us US,Pitcher,*,,24,L,L,"6' 1""",209,11-Apr-96,2015
4,62,Jose Urena,do DO,Pitcher,*,,28,R,R,"6' 2""",208,12-Sep-91,2009
5,37,Stephen Tarpley,us US,Pitcher,*,,27,R,L,"6' 0""",202,17-Feb-93,2012
6,55,Ryne Stanek,us US,Pitcher,*,,28,R,R,"6' 4""",226,26-Jul-91,2011
7,45,Sixto Sanchez,do DO,Pitcher,*,,21,R,R,"6' 0""",234,29-Jul-98,2015
8,0,Trevor Rogers,us US,Pitcher,*,,22,L,L,"6' 5""",217,13-Nov-97,2018
9,29,Nick Neidert,us US,Pitcher,*,,23,R,R,"6' 1""",202,20-Nov-96,2015
10,49,Pablo Lopez,ve VE,Pitcher,*,,24,L,R,"6' 4""",225,7-Mar-96,2013
11,51,James Hoyt,us US,Pitcher,*,,33,R,R,"6' 6""",230,30-Sep-86,2011
12,78,Jordan Holloway,us US,Pitcher,*,,24,R,R,"6' 6""",230,13-Jun-96,2014
13,57,Elieser Hernandez,ve VE,Pitcher,*,,25,R,R,"6' 0""",214,3-May-95,2012
14,94,Braxton Garrett,us US,Pitcher,*,,22,L,L,"6' 2""",202,5-Aug-97,2017
15,93,Yimi Garcia,do DO,Pitcher,*,,29,R,R,"6' 2""",228,18-Aug-90,2009
16,64,Robert Dugger,us US,Pitcher,*,,24,R,R,"6' 0""",198,3-Jul-95,2016
17,22,Sandy Alcantara,do DO,Pitcher,*,,24,R,R,"6' 5""",200,7-Sep-95,2014
18,48,Richard Bleier,us US,Pitcher,*,,33,L,L,"6' 3""",215,16-Apr-87,2008
19,43,Jeff Brigham,us US,Pitcher,*,,28,R,R,"6' 0""",195,16-Feb-92,2011
20,72,Daniel Castano,us US,Pitcher,*,,25,L,L,"6' 3""",231,17-Sep-94,2014
21,79,Edward Cabrera,do DO,Pitcher,*,,22,R,R,"6' 5""",217,13-Apr-98,2016
22,47,Harold Ramirez,co CO,Position,*,,25,R,R,"5' 10""",232,6-Sep-94,2012
23,17,Chad Wallach,us US,Position,*,,28,R,R,"6' 2""",246,4-Nov-91,2011
24,38,Jorge Alfaro,co CO,Position,*,,27,R,R,"6' 3""",230,11-Jun-93,2010
25,15,Brian Anderson,us US,Position,*,,27,R,R,"6' 3""",208,19-May-93,2012
26,5,Jon Berti,us US,Position,*,,30,R,R,"5' 10""",190,22-Jan-90,2010
27,34,Magneuris Sierra,do DO,Position,*,,24,L,L,"5' 11""",178,7-Apr-96,2013
28,76,Jesus Sanchez,do DO,Position,*,,22,L,R,"6' 3""",222,7-Oct-97,2015
29,19,Miguel Rojas,ve VE,Position,*,,31,R,R,"6' 0""",188,24-Feb-89,2006
30,25,Lewis Brinson,us US,Position,*,,26,R,R,"6' 5""",212,8-May-94,2012
31,23,Corey Dickerson,us US,Position,*,,31,L,R,"6' 1""",200,22-May-89,2010
32,6,Starling Marte,do DO,Position,*,,31,R,R,"6' 1""",195,9-Oct-88,2007
33,0,Jazz Chisholm,bs BS,Position,*,,22,L,R,"5' 11""",184,1-Feb-98,2016
34,26,Garrett Cooper,us US,Position,*,,29,R,R,"6' 5""",235,25-Dec-90,2012
35,0,Jose Devers,do DO,Position,*,,20,L,R,"6' 0""",174,7-Dec-99,2017
36,3,Monte Harrison,us US,Position,*,,24,R,R,"6' 3""",225,10-Aug-95,2014
37,24,Jesus Aguilar,ve VE,Position,*,,30,R,R,"6' 3""",277,30-Jun-90,2008
38,1,Isan Diaz,pr PR,Position,*,,24,L,R,"5' 11""",201,27-May-96,2014
39,68,Lewin Diaz,do DO,Position,*,,23,L,L,"6' 4""",217,19-Nov-96,2014
40,0,Jerar Encarnacion,do DO,Position,*,,22,R,R,"6' 5""",239,22-Oct-97,2016
