Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,71,Josh Hader,us US,Pitcher,*,,26,L,L,"6' 3""",180,7-Apr-94,2012
2,43,Drew Rasmussen,us US,Pitcher,*,,24,R,R,"6' 1""",211,27-Jul-95,2015
3,47,Angel Perdomo,do DO,Pitcher,*,,26,L,L,"6' 8""",265,7-May-94,2012
4,51,Freddy Peralta,do DO,Pitcher,*,,24,R,R,"5' 11""",199,4-Jun-96,2013
5,35,Brent Suter,us US,Pitcher,*,,30,L,L,"6' 4""",213,29-Aug-89,2011
6,56,Justin Topa,us US,Pitcher,*,,29,R,R,"6' 4""",200,7-Mar-91,2011
7,29,Josh Lindblom,us US,Pitcher,*,,33,R,R,"6' 4""",240,15-Jun-87,2008
8,27,Eric Lauer,us US,Pitcher,*,,25,R,L,"6' 3""",228,3-Jun-95,2014
9,46,Corey Knebel,us US,Pitcher,*,,28,R,R,"6' 3""",224,26-Nov-91,2011
10,37,Adrian Houser,us US,Pitcher,*,,27,R,R,"6' 3""",222,2-Feb-93,2011
11,31,Bobby Wahl,us US,Pitcher,*,,28,R,R,"6' 3""",216,21-Mar-92,2011
12,38,Devin Williams,us US,Pitcher,*,,25,R,R,"6' 2""",200,21-Sep-94,2013
13,53,Brandon Woodruff,us US,Pitcher,*,,27,L,R,"6' 4""",243,10-Feb-93,2012
14,0,Dylan File,us US,Pitcher,*,,24,R,R,"6' 1""",205,4-Jun-96,2015
15,54,J.P. Feyereisen,us US,Pitcher,*,,27,R,R,"6' 2""",215,7-Feb-93,2014
16,57,Eric Yardley,us US,Pitcher,*,,29,R,R,"6' 0""",170,18-Aug-90,2011
17,58,Alex Claudio,pr PR,Pitcher,*,,28,L,L,"6' 3""",188,31-Jan-92,2010
18,39,Corbin Burnes,us US,Pitcher,*,,25,R,R,"6' 3""",225,22-Oct-94,2014
19,50,Ray Black,us US,Pitcher,*,,30,R,R,"6' 3""",230,26-Jun-90,2011
20,32,Phil Bickford,us US,Pitcher,*,,24,R,R,"6' 4""",200,10-Jul-95,2014
21,0,Alec Bettinger,us US,Pitcher,*,,24,R,R,"6' 2""",210,13-Jul-95,2014
22,22,Christian Yelich,us US,Position,*,,28,L,R,"6' 3""",195,5-Dec-91,2010
23,21,Daniel Vogelbach,us US,Position,*,,27,L,R,"6' 0""",270,17-Dec-92,2011
24,2,Luis Urias,mx MX,Position,*,,23,R,R,"5' 9""",186,3-Jun-97,2014
25,3,Orlando Arcia,ve VE,Position,*,,25,R,R,"6' 0""",187,4-Aug-94,2011
26,15,Tyrone Taylor,us US,Position,*,,26,R,R,"6' 0""",194,22-Jan-94,2012
27,78,Corey Ray,us US,Position,*,,25,L,L,"6' 0""",196,22-Sep-94,2014
28,9,Manny Pina,ve VE,Position,*,,33,R,R,"6' 0""",222,5-Jun-87,2005
29,14,Jace Peterson,us US,Position,*,,30,L,R,"6' 0""",215,9-May-90,2011
30,26,Jacob Nottingham,us US,Position,*,,25,R,R,"6' 2""",220,3-Apr-95,2013
31,10,Omar Narvaez,ve VE,Position,*,,28,L,R,"5' 11""",220,10-Feb-92,2009
32,0,Billy McKinney,us US,Position,*,,25,L,L,"6' 1""",205,23-Aug-94,2013
33,13,Mark Mathias,us US,Position,*,,25,R,R,"6' 0""",200,2-Aug-94,2013
34,18,Keston Hiura,us US,Position,*,,23,R,R,"6' 0""",202,2-Aug-96,2015
35,24,Avisail Garcia,ve VE,Position,*,,29,R,R,"6' 4""",250,12-Jun-91,2008
36,16,Ben Gamel,us US,Position,*,,28,L,L,"5' 11""",177,17-May-92,2010
37,20,David Freitas,us US,Position,*,,31,R,R,"6' 2""",250,18-Mar-89,2010
38,0,Mario Feliciano,pr PR,Position,*,,21,R,R,"6' 1""",200,20-Nov-98,2016
39,6,Lorenzo Cain,us US,Position,*,,34,R,R,"6' 2""",214,13-Apr-86,2005
