Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,31,Devin Smeltzer,us US,Pitcher,*,,24,R,L,"6' 3""",195,7-Sep-95,2015
2,55,Taylor Rogers,us US,Pitcher,*,,29,L,L,"6' 3""",190,17-Dec-90,2011
3,35,Michael Pineda,do DO,Pitcher,*,,31,R,R,"6' 7""",280,18-Jan-89,2006
4,0,Bailey Ober,us US,Pitcher,*,,24,R,R,"6' 9""",260,12-Jul-95,2014
5,18,Kenta Maeda,jp JP,Pitcher,*,,32,R,R,"6' 1""",185,11-Apr-88,2008
6,66,Jorge Alcala,do DO,Pitcher,*,,24,R,R,"6' 3""",205,28-Jul-95,2015
7,0,Ian Gibaut,us US,Pitcher,*,,26,R,R,"6' 3""",250,19-Nov-93,2013
8,59,Jhoan Duran,do DO,Pitcher,*,,22,R,R,"6' 5""",230,8-Jan-98,2015
9,21,Tyler Duffey,us US,Pitcher,*,,29,R,R,"6' 3""",220,27-Dec-90,2011
10,68,Randy Dobnak,us US,Pitcher,*,,25,R,R,"6' 1""",230,17-Jan-95,2014
11,86,Edwar Colina,ve VE,Pitcher,*,,23,R,R,"5' 11""",240,3-May-97,2016
12,62,Dakota Chalmers,us US,Pitcher,*,,23,R,R,"6' 3""",175,8-Oct-96,2015
13,61,Cody Stashak,us US,Pitcher,*,,26,R,R,"6' 2""",180,4-Jun-94,2015
14,72,Caleb Thielbar,us US,Pitcher,*,,33,R,L,"6' 0""",205,31-Jan-87,2009
15,43,Lewis Thorpe,au AU,Pitcher,*,,24,R,L,"6' 1""",218,23-Nov-95,2012
16,0,Brandon Waddell,us US,Pitcher,*,,26,L,L,"6' 3""",180,3-Jun-94,2013
17,17,Jose Berrios,pr PR,Pitcher,*,,26,R,R,"6' 0""",205,27-May-94,2012
18,0,Jordan Balazovic,ca CA,Pitcher,*,,21,R,R,"6' 5""",215,17-Sep-98,2016
19,37,Matt Wisler,us US,Pitcher,*,,27,R,R,"6' 3""",215,12-Sep-92,2011
20,39,Ryan Jeffers,us US,Position,*,,23,R,R,"6' 4""",235,3-Jun-97,2016
21,22,Miguel Sano,do DO,Position,*,,27,R,R,"6' 4""",272,11-May-93,2010
22,20,Eddie Rosario,pr PR,Position,*,,28,L,R,"6' 1""",180,28-Sep-91,2010
23,0,Benjamin Rortvedt,us US,Position,*,,22,L,R,"5' 10""",205,25-Sep-97,2016
24,50,Brent Rooker,us US,Position,*,,25,R,R,"6' 3""",225,1-Nov-94,2015
25,30,LaMonte Wade Jr,us US,Position,*,,26,L,L,"6' 1""",205,1-Jan-94,2013
26,11,Jorge Polanco,do DO,Position,*,,26,S,R,"5' 11""",208,5-Jul-93,2010
27,76,Alex Kirilloff,us US,Position,*,,22,L,L,"6' 2""",215,9-Nov-97,2016
28,26,Max Kepler,de DE,Position,*,,27,L,L,"6' 4""",225,10-Feb-93,2010
29,1,Nick Gordon,us US,Position,*,,24,L,R,"6' 0""",160,24-Oct-95,2014
30,8,Mitch Garver,us US,Position,*,,29,R,R,"6' 1""",220,15-Jan-91,2011
31,24,Josh Donaldson,us US,Position,*,,34,R,R,"6' 1""",210,8-Dec-85,2007
32,79,Gilberto Celestino,do DO,Position,*,,21,R,L,"6' 0""",170,13-Feb-99,2016
33,60,Jake Cave,us US,Position,*,,27,L,L,"6' 0""",200,4-Dec-92,2011
34,25,Byron Buxton,us US,Position,*,,26,R,R,"6' 2""",190,18-Dec-93,2012
35,74,Travis Blankenhorn,us US,Position,*,,23,L,R,"6' 2""",235,3-Aug-96,2015
36,64,Willians Astudillo,ve VE,Position,*,,28,R,R,"5' 9""",225,14-Oct-91,2009
37,2,Luis Arraez,ve VE,Position,*,,23,L,R,"5' 10""",175,9-Apr-97,2014
