Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,32,Steven Matz,us US,Pitcher,*,,29,R,L,"6' 2""",201,29-May-91,2012
2,73,Daniel Zamora,us US,Pitcher,*,,27,L,L,"6' 3""",195,15-Apr-93,2013
3,0,Nick Tropeano,us US,Pitcher,*,,29,R,R,"6' 4""",205,27-Aug-90,2010
4,63,Thomas Szapucki,us US,Pitcher,*,,24,R,L,"6' 2""",181,12-Jun-96,2015
5,34,Noah Syndergaard,us US,Pitcher,*,,27,L,R,"6' 6""",242,29-Aug-92,2010
6,0,Marcus Stroman,us US,Pitcher,*,,29,R,R,"5' 7""",180,1-May-91,2010
7,0,Drew Smith,us US,Pitcher,*,,26,R,R,"6' 2""",190,24-Sep-93,2013
8,47,Chasen Shreve,us US,Pitcher,*,,29,L,L,"6' 4""",195,12-Jul-90,2010
9,51,Paul Sewald,us US,Pitcher,*,,30,R,R,"6' 3""",207,26-May-90,2011
10,77,David Peterson,us US,Pitcher,*,,24,L,L,"6' 6""",240,3-Sep-95,2015
11,0,Corey Oswalt,us US,Pitcher,*,,26,R,R,"6' 5""",250,3-Sep-93,2012
12,0,Sam McWilliams,us US,Pitcher,*,,24,R,R,"6' 7""",230,4-Sep-95,2014
13,67,Seth Lugo,us US,Pitcher,*,,30,R,R,"6' 4""",225,17-Nov-89,2011
14,66,Franklyn Kilome,do DO,Pitcher,*,,25,R,R,"6' 6""",175,25-Jun-95,2014
15,49,Ariel Jurado,pa PA,Pitcher,*,,24,R,R,"6' 2""",240,30-Jan-96,2013
16,0,Jacob Barnes,us US,Pitcher,*,,30,R,R,"6' 2""",231,14-Apr-90,2011
17,65,Robert Gsellman,us US,Pitcher,*,,26,R,R,"6' 4""",200,18-Jul-93,2011
18,68,Dellin Betances,us US,Pitcher,*,,32,R,R,"6' 8""",265,23-Mar-88,2006
19,29,Brad Brach,us US,Pitcher,*,,34,R,R,"6' 6""",215,12-Apr-86,2008
20,50,Miguel Castro,do DO,Pitcher,*,,25,R,R,"6' 7""",205,24-Dec-94,2012
21,48,Jacob deGrom,us US,Pitcher,*,,32,L,R,"6' 4""",180,19-Jun-88,2010
22,27,Jeurys Familia,do DO,Pitcher,*,,30,R,R,"6' 3""",240,10-Oct-89,2008
23,39,Edwin Diaz,pr PR,Pitcher,*,,26,R,R,"6' 3""",195,22-Mar-94,2012
24,1,Amed Rosario,do DO,Position,*,,24,R,R,"6' 2""",190,20-Nov-95,2013
25,30,Michael Conforto,us US,Position,*,,27,L,R,"6' 1""",215,1-Mar-93,2012
26,28,J.D. Davis,us US,Position,*,,27,R,R,"6' 3""",218,27-Apr-93,2012
27,2,Dominic Smith,us US,Position,*,,25,L,L,"6' 0""",239,15-Jun-95,2013
28,0,Ali Sanchez,ve VE,Position,*,,23,R,R,"6' 1""",200,20-Jan-97,2014
29,15,Guillermo Heredia,cu CU,Position,*,,29,R,L,"5' 10""",195,31-Jan-91,2009
30,0,Robel Garcia,do DO,Position,*,,27,S,R,"6' 0""",195,28-Mar-93,2010
31,9,Brandon Nimmo,us US,Position,*,,27,L,R,"6' 3""",206,27-Mar-93,2011
32,3,Tomas Nido,pr PR,Position,*,,26,R,R,"6' 0""",211,12-Apr-94,2012
33,60,Andres Gimenez,ve VE,Position,*,,21,L,R,"5' 11""",161,4-Sep-98,2016
34,6,Jeff McNeil,us US,Position,*,,28,L,R,"6' 1""",195,8-Apr-92,2011
35,0,Patrick Mazeika,us US,Position,*,,26,L,R,"6' 3""",210,14-Oct-93,2013
36,20,Pete Alonso,us US,Position,*,,25,R,R,"6' 3""",245,7-Dec-94,2014
37,13,Luis Guillorme,ve VE,Position,*,,25,L,R,"5' 10""",190,27-Sep-94,2013
