Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,35,Jake Diekman,us US,Pitcher,*,,33,L,L,"6' 4""",195,21-Jan-87,2007
2,47,Frankie Montas,do DO,Pitcher,*,,27,R,R,"6' 2""",255,21-Mar-93,2010
3,55,Sean Manaea,us US,Pitcher,*,,28,R,L,"6' 5""",245,1-Feb-92,2011
4,44,Jesus Luzardo,pe PE,Pitcher,*,,22,L,L,"6' 0""",218,30-Sep-97,2017
5,56,James Kaprielian,us US,Pitcher,*,,26,R,R,"6' 3""",225,2-Mar-94,2013
6,66,Daulton Jefferies,us US,Pitcher,*,,24,L,R,"6' 0""",182,2-Aug-95,2014
7,67,Grant Holmes,us US,Pitcher,*,,24,L,R,"6' 0""",226,22-Mar-96,2014
8,31,A.J. Puk,us US,Pitcher,*,,25,L,L,"6' 7""",248,25-Apr-95,2014
9,0,Wandisson Charles,do DO,Pitcher,*,,23,R,R,"6' 4""",263,7-Sep-96,2015
10,0,Miguel Romero,cu CU,Pitcher,*,,26,R,R,"6' 0""",202,23-Apr-94,2012
11,46,Burch Smith,us US,Pitcher,*,,30,R,R,"6' 4""",225,12-Apr-90,2011
12,62,Lou Trivino,us US,Pitcher,*,,28,R,R,"6' 5""",235,1-Oct-91,2013
13,70,Jordan Weems,us US,Pitcher,*,,27,L,R,"6' 3""",175,7-Nov-92,2011
14,58,Paul Blackburn,us US,Pitcher,*,,26,R,R,"6' 1""",196,4-Dec-93,2012
15,40,Chris Bassitt,us US,Pitcher,*,,31,R,R,"6' 5""",217,22-Feb-89,2011
16,57,J.B. Wendelken,us US,Pitcher,*,,27,R,R,"6' 1""",242,24-Mar-93,2012
17,25,Stephen Piscotty,us US,Position,*,,29,R,R,"6' 4""",211,14-Jan-91,2011
18,5,Tony Kemp,us US,Position,*,,28,L,R,"5' 6""",160,31-Oct-91,2011
19,18,Chad Pinder,us US,Position,*,,28,R,R,"6' 2""",210,29-Mar-92,2011
20,45,Nate Orf,us US,Position,*,,30,R,R,"5' 8""",181,1-Feb-90,2012
21,28,Matt Olson,us US,Position,*,,26,L,R,"6' 5""",225,29-Mar-94,2012
22,21,Sheldon Neuse,us US,Position,*,,25,R,R,"6' 0""",232,10-Dec-94,2014
23,12,Sean Murphy,us US,Position,*,,25,R,R,"6' 3""",228,4-Oct-94,2014
24,39,Vimael Machin,pr PR,Position,*,,26,L,R,"5' 11""",185,25-Sep-93,2012
25,22,Ramon Laureano,do DO,Position,*,,25,R,R,"5' 11""",203,15-Jul-94,2014
26,30,Austin Allen,us US,Position,*,,26,L,R,"6' 2""",219,16-Jan-94,2013
27,37,Jonah Heim,us US,Position,*,,25,S,R,"6' 4""",220,27-Jun-95,2013
28,11,Dustin Fowler,us US,Position,*,,25,L,L,"6' 0""",198,29-Dec-94,2013
29,0,Greg Deichmann,us US,Position,*,,25,L,R,"6' 2""",205,31-May-95,2015
30,2,Khris Davis,us US,Position,*,,32,R,R,"5' 11""",205,21-Dec-87,2009
31,26,Matt Chapman,us US,Position,*,,27,R,R,"6' 0""",215,28-Apr-93,2012
32,20,Mark Canha,us US,Position,*,,31,R,R,"6' 2""",209,15-Feb-89,2010
33,15,Seth Brown,us US,Position,*,,27,L,L,"6' 1""",223,13-Jul-92,2015
34,49,Skye Bolt,us US,Position,*,,26,S,R,"6' 2""",180,15-Jan-94,2013
35,79,Luis Barrera,do DO,Position,*,,24,L,L,"6' 0""",195,15-Nov-95,2013
