Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,63,Mauricio Llovera,ve VE,Pitcher,*,,24,R,R,"5' 11""",224,17-Apr-96,2015
2,45,Zack Wheeler,us US,Pitcher,*,,30,L,R,"6' 4""",195,30-May-90,2010
3,21,Vince Velasquez,us US,Pitcher,*,,28,R,R,"6' 3""",212,7-Jun-92,2010
4,55,Ranger Suarez,ve VE,Pitcher,*,,24,L,L,"6' 1""",217,26-Aug-95,2012
5,61,Cristopher Sanchez,do DO,Pitcher,*,,23,L,L,"6' 1""",165,12-Dec-96,2014
6,0,Ramon Rosso,do DO,Pitcher,*,,24,R,R,"6' 4""",240,9-Jun-96,2017
7,79,JoJo Romero,us US,Pitcher,*,,23,L,L,"5' 11""",200,9-Sep-96,2015
8,0,Johan Quezada,do DO,Pitcher,*,,25,R,R,"6' 9""",255,25-Aug-94,2013
9,27,Aaron Nola,us US,Pitcher,*,,27,R,R,"6' 2""",200,4-Jun-93,2012
10,50,Hector Neris,do DO,Pitcher,*,,31,R,R,"6' 2""",227,14-Jun-89,2010
11,0,Francisco Morales,ve VE,Pitcher,*,,20,R,R,"6' 4""",185,27-Oct-99,2017
12,77,Adonis Medina,do DO,Pitcher,*,,23,R,R,"6' 1""",187,18-Dec-96,2014
13,0,Victor Arano,mx MX,Pitcher,*,,25,R,R,"6' 2""",228,7-Feb-95,2013
14,0,Damon Jones,us US,Pitcher,*,,25,L,L,"6' 5""",233,30-Sep-94,2016
15,48,Spencer Howard,us US,Pitcher,*,,23,R,R,"6' 3""",210,28-Jul-96,2015
16,47,Cole Irvin,us US,Pitcher,*,,26,L,L,"6' 4""",217,31-Jan-94,2013
17,75,Connor Brogdon,us US,Pitcher,*,,25,R,R,"6' 6""",205,29-Jan-95,2017
18,0,Garrett Cleavinger,us US,Pitcher,*,,26,R,L,"6' 1""",220,23-Apr-94,2013
19,0,Kyle Dohy,us US,Pitcher,*,,23,L,L,"6' 2""",202,17-Sep-96,2015
20,58,Seranthony Dominguez,do DO,Pitcher,*,,25,R,R,"6' 1""",225,25-Nov-94,2012
21,56,Zach Eflin,us US,Pitcher,*,,26,R,R,"6' 6""",220,8-Apr-94,2012
22,0,Bailey Falter,us US,Pitcher,*,,23,R,L,"6' 4""",175,24-Apr-97,2015
23,41,David Hale,us US,Pitcher,*,,32,R,R,"6' 2""",210,27-Sep-87,2009
24,28,Alec Bohm,us US,Position,*,,23,R,R,"6' 5""",218,3-Aug-96,2016
25,2,Jean Segura,do DO,Position,*,,30,R,R,"5' 10""",220,17-Mar-90,2007
26,24,Roman Quinn,us US,Position,*,,27,S,R,"5' 10""",175,14-May-93,2012
27,23,Kyle Garlick,us US,Position,*,,28,R,R,"6' 1""",210,26-Jan-92,2011
28,0,Simon Muzziotti,ve VE,Position,*,,21,L,L,"6' 1""",175,27-Dec-98,2016
29,3,Bryce Harper,us US,Position,*,,27,L,R,"6' 3""",210,16-Oct-92,2010
30,0,Mickey Moniak,us US,Position,*,,22,L,R,"6' 2""",195,13-May-98,2016
31,40,Adam Haseley,us US,Position,*,,24,L,L,"6' 1""",190,12-Apr-96,2015
32,22,Andrew McCutchen,us US,Position,*,,33,R,R,"5' 11""",195,10-Oct-86,2005
33,0,Nick Maton,us US,Position,*,,23,L,R,"6' 2""",178,18-Feb-97,2016
34,13,Rafael Marchan,ve VE,Position,*,,21,S,R,"5' 9""",170,25-Feb-99,2016
35,17,Rhys Hoskins,us US,Position,*,,27,R,R,"6' 4""",245,17-Mar-93,2012
36,5,Andrew Knapp,us US,Position,*,,28,S,R,"6' 1""",189,9-Nov-91,2011
37,4,Scott Kingery,us US,Position,*,,26,R,R,"5' 10""",180,29-Apr-94,2013
