Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,23,Mitch Keller,us US,Pitcher,*,,24,R,R,"6' 2""",205,4-Apr-96,2014
2,71,Nik Turley,us US,Pitcher,*,,30,L,L,"6' 4""",235,11-Sep-89,2008
3,50,Jameson Taillon,us US,Pitcher,*,,28,R,R,"6' 5""",230,18-Nov-91,2011
4,46,Chris Stratton,us US,Pitcher,*,,29,R,R,"6' 2""",210,22-Aug-90,2011
5,37,Edgar Santana,do DO,Pitcher,*,,28,R,R,"6' 2""",190,16-Oct-91,2014
6,48,Richard Rodriguez,do DO,Pitcher,*,,30,R,R,"6' 4""",218,4-Mar-90,2010
7,0,Sean Poppen,us US,Pitcher,*,,26,R,R,"6' 3""",205,15-Mar-94,2013
8,60,Cody Ponce,us US,Pitcher,*,,26,R,R,"6' 5""",255,25-Apr-94,2013
9,59,Joe Musgrove,us US,Pitcher,*,,27,R,R,"6' 5""",235,4-Dec-92,2011
10,70,Nick Mears,us US,Pitcher,*,,23,R,R,"6' 2""",215,7-Oct-96,2017
11,39,Chad Kuhl,us US,Pitcher,*,,27,R,R,"6' 3""",215,10-Sep-92,2011
12,0,Max Kranick,us US,Pitcher,*,,22,R,R,"6' 3""",175,21-Jul-97,2016
13,54,Sam Howard,us US,Pitcher,*,,27,R,L,"6' 4""",200,5-Mar-93,2012
14,52,Clay Holmes,us US,Pitcher,*,,27,R,R,"6' 5""",230,27-Mar-93,2012
15,32,Geoff Hartlieb,us US,Pitcher,*,,26,R,R,"6' 5""",235,9-Dec-93,2014
16,0,Carson Fulmer,us US,Pitcher,*,,26,R,R,"6' 0""",215,13-Dec-93,2013
17,67,Tyler Bashlor,us US,Pitcher,*,,27,R,R,"6' 0""",195,16-Apr-93,2013
18,43,Steven Brault,us US,Pitcher,*,,28,L,L,"6' 0""",195,29-Apr-92,2013
19,65,JT Brubaker,us US,Pitcher,*,,26,R,R,"6' 3""",185,17-Nov-93,2013
20,62,Blake Cederlind,us US,Pitcher,*,,24,R,R,"6' 4""",215,4-Jan-96,2016
21,30,Kyle Crick,us US,Pitcher,*,,27,L,R,"6' 4""",225,30-Nov-92,2011
22,75,Austin Davis,us US,Pitcher,*,,27,L,L,"6' 4""",225,3-Feb-93,2012
23,49,Michael Feliz,do DO,Pitcher,*,,27,R,R,"6' 4""",240,28-Jun-93,2010
24,2,Erik Gonzalez,do DO,Position,*,,28,R,R,"6' 3""",210,31-Aug-91,2009
25,64,Phillip Evans,us US,Position,*,,27,R,R,"5' 10""",210,10-Sep-92,2011
26,3,Cole Tucker,us US,Position,*,,23,S,R,"6' 3""",205,3-Jul-96,2014
27,55,Josh Bell,us US,Position,*,,27,S,R,"6' 4""",250,14-Aug-92,2012
28,13,Ke'Bryan Hayes,us US,Position,*,,23,R,R,"5' 10""",205,28-Jan-97,2015
29,58,Jacob Stallings,us US,Position,*,,30,R,R,"6' 5""",,22-Dec-89,2010
30,26,Adam Frazier,us US,Position,*,,28,L,R,"5' 10""",185,14-Dec-91,2011
31,0,Rodolfo Castro,do DO,Position,*,,21,S,R,"6' 0""",200,21-May-99,2016
32,10,Bryan Reynolds,us US,Position,*,,25,S,R,"6' 3""",205,27-Jan-95,2014
33,31,Will Craig,us US,Position,*,,25,R,R,"6' 3""",220,16-Nov-94,2014
34,25,Gregory Polanco,do DO,Position,*,,28,L,L,"6' 5""",235,14-Sep-91,2009
35,5,Michael Perez,pr PR,Position,*,,27,L,R,"5' 10""",195,7-Aug-92,2011
36,76,Jared Oliva,us US,Position,*,,24,R,R,"6' 2""",195,27-Nov-95,2015
37,27,Kevin Newman,us US,Position,*,,26,R,R,"6' 0""",200,4-Aug-93,2013
38,6,Anthony Alford,us US,Position,*,,25,R,R,"6' 1""",210,20-Jul-94,2012
39,19,Colin Moran,us US,Position,*,,27,L,R,"6' 4""",200,1-Oct-92,2011
40,61,Oneil Cruz,do DO,Position,*,,21,L,R,"6' 7""",210,4-Oct-98,2016
