Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,8,Javy Guerra,pa PA,Pitcher,*,,24,L,R,"6' 0""",185,25-Sep-95,2013
2,59,Chris Paddack,us US,Pitcher,*,,24,R,R,"6' 5""",217,8-Jan-96,2015
3,14,Emilio Pagan,us US,Pitcher,*,,29,L,R,"6' 2""",208,7-May-91,2011
4,50,Adrián Morejón,cu CU,Pitcher,*,,21,L,L,"5' 11""",224,27-Feb-99,2014
5,62,Luis Patino,co CO,Pitcher,*,,20,R,R,"6' 1""",192,26-Oct-99,2017
6,15,Drew Pomeranz,us US,Pitcher,*,,31,R,L,"6' 5""",246,22-Nov-88,2011
7,54,Austin Adams,us US,Pitcher,*,,29,R,R,"6' 3""",220,5-May-91,2011
8,37,Joey Lucchesi,us US,Pitcher,*,,27,L,L,"6' 5""",225,6-Jun-93,2015
9,0,Reggie Lawson,us US,Pitcher,*,,22,R,R,"6' 4""",205,2-Aug-97,2016
10,29,Dinelson Lamet,do DO,Pitcher,*,,27,R,R,"6' 3""",228,18-Jul-92,2014
11,36,Pierce Johnson,us US,Pitcher,*,,29,R,R,"6' 2""",202,10-May-91,2010
12,34,Craig Stammen,us US,Pitcher,*,,36,R,R,"6' 2""",228,9-Mar-84,2005
13,25,Tim Hill,us US,Pitcher,*,,30,R,L,"6' 4""",200,10-Feb-90,2014
14,55,Matt Strahm,us US,Pitcher,*,,28,R,L,"6' 2""",190,12-Nov-91,2012
15,70,Anderson Espinoza,ve VE,Pitcher,*,,22,R,R,"6' 0""",190,9-Mar-98,2015
16,17,Zach Davies,us US,Pitcher,*,,27,R,R,"6' 0""",180,7-Feb-93,2012
17,0,Mason Thompson,us US,Pitcher,*,,22,R,R,"6' 7""",223,20-Feb-98,2016
18,40,Ryan Weathers,us US,Pitcher,*,,20,R,L,"6' 1""",230,17-Dec-99,2018
19,65,Jose Castillo,ve VE,Pitcher,*,,24,L,L,"6' 6""",252,10-Jan-96,2013
20,45,Taylor Williams,us US,Pitcher,*,,28,S,R,"5' 11""",185,21-Jul-91,2013
21,67,David Bednar,us US,Pitcher,*,,25,L,R,"6' 1""",249,10-Oct-94,2014
22,49,Michel Báez,cu CU,Pitcher,*,,24,R,R,"6' 8""",220,21-Jan-96,2014
23,57,Dan Altavilla,us US,Pitcher,*,,27,R,R,"5' 11""",226,8-Sep-92,2013
24,58,Trey Wingenter,us US,Pitcher,*,,26,R,R,"6' 7""",237,15-Apr-94,2013
25,13,Manny Machado,us US,Position,*,,27,R,R,"6' 3""",218,6-Jul-92,2010
26,23,Fernando Tatis Jr.,do DO,Position,*,,21,R,R,"6' 3""",217,2-Jan-99,2016
27,28,Tommy Pham,us US,Position,*,,32,R,R,"6' 1""",223,8-Mar-88,2006
28,63,Jorge Oña,cu CU,Position,*,,23,R,R,"6' 0""",235,31-Dec-96,2017
29,22,Austin Nola,us US,Position,*,,30,R,R,"6' 0""",197,28-Dec-89,2010
30,4,Wil Myers,us US,Position,*,,29,R,R,"6' 3""",207,10-Dec-90,2009
31,27,Francisco Mejia,do DO,Position,*,,24,S,R,"5' 8""",188,27-Oct-95,2013
32,3,Jorge Mateo,do DO,Position,*,,25,R,R,"6' 0""",182,23-Jun-95,2012
33,0,Tucupita Marcano,ve VE,Position,*,,20,L,R,"6' 0""",170,16-Sep-99,2017
34,30,Eric Hosmer,us US,Position,*,,30,L,L,"6' 4""",226,24-Oct-89,2008
35,2,Trent Grisham,us US,Position,*,,23,L,L,"5' 11""",224,1-Nov-96,2015
36,5,Greg Garcia,us US,Position,*,,30,L,R,"6' 0""",200,8-Aug-89,2010
37,9,Jake Cronenworth,us US,Position,*,,26,L,R,"6' 0""",187,21-Jan-94,2013
38,21,Luis Campusano,us US,Position,*,,21,R,R,"5' 11""",232,29-Sep-98,2017
39,24,Greg Allen,us US,Position,*,,27,S,R,"6' 0""",185,15-Mar-93,2012
40,52,Mike Clevinger,us US,Pitcher,,10-day,29,R,R,"6' 4""",215,21-Dec-90,2011
