Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,47,Ian Hamilton,us US,Pitcher,*,,25,R,R,"6' 1""",200,16-Jun-95,2014
2,74,Ljay Newsome,us US,Pitcher,*,,23,R,R,"5' 11""",210,8-Nov-96,2015
3,43,Andres Munoz,mx MX,Pitcher,*,,21,R,R,"6' 2""",243,16-Jan-99,2016
4,55,Yohan Ramirez,do DO,Pitcher,*,,25,R,R,"6' 4""",190,6-May-95,2016
5,38,Anthony Misiewicz,us US,Pitcher,*,,25,R,L,"6' 1""",200,1-Nov-94,2013
6,0,Wyatt Mills,us US,Pitcher,*,,25,R,R,"6' 4""",190,25-Jan-95,2014
7,37,Casey Sadler,us US,Pitcher,*,,29,R,R,"6' 3""",205,13-Jul-90,2010
8,52,Nick Margevicius,us US,Pitcher,*,,24,L,L,"6' 5""",220,18-Jun-96,2015
9,33,Justus Sheffield,us US,Pitcher,*,,24,L,L,"5' 10""",195,13-May-96,2014
10,73,Walker Lockett,us US,Pitcher,*,,26,R,R,"6' 5""",225,3-May-94,2012
11,50,Erik Swanson,us US,Pitcher,*,,26,R,R,"6' 3""",220,4-Sep-93,2014
12,18,Yusei Kikuchi,jp JP,Pitcher,*,,29,L,L,"6' 0""",200,17-Jun-91,2010
13,45,Domingo Tapia,do DO,Pitcher,*,,28,R,R,"6' 3""",263,4-Aug-91,2010
14,0,Juan Then,do DO,Pitcher,*,,20,R,R,"6' 1""",175,7-Feb-00,2017
15,49,Kendall Graveman,us US,Pitcher,*,,29,R,R,"6' 2""",200,21-Dec-90,2011
16,7,Marco Gonzales,us US,Pitcher,*,,28,L,L,"6' 1""",197,16-Feb-92,2011
17,59,Joey Gerber,us US,Pitcher,*,,23,R,R,"6' 4""",215,3-May-97,2016
18,41,Aaron Fletcher,us US,Pitcher,*,,24,L,L,"6' 0""",220,25-Feb-96,2015
19,35,Justin Dunn,us US,Pitcher,*,,24,R,R,"6' 2""",185,22-Sep-95,2014
20,0,Sam Delaplane,us US,Pitcher,*,,25,R,R,"5' 11""",175,27-Mar-95,2014
21,65,Brandon Brennan,us US,Pitcher,*,,28,R,R,"6' 4""",207,26-Jul-91,2012
22,12,Evan White,us US,Position,*,,24,R,L,"6' 3""",220,26-Apr-96,2015
23,22,Luis Torrens,ve VE,Position,*,,24,R,R,"6' 0""",208,2-May-96,2013
24,15,Kyle Seager,us US,Position,*,,32,L,R,"6' 0""",216,3-Nov-87,2009
25,0,Taylor Trammell,us US,Position,*,,22,L,L,"6' 2""",213,13-Sep-97,2016
26,31,Donovan Walton,us US,Position,*,,26,L,R,"5' 10""",175,25-May-94,2013
27,5,Braden Bishop,us US,Position,*,,26,R,R,"6' 1""",178,22-Aug-93,2013
28,2,Tom Murphy,us US,Position,*,,29,R,R,"6' 1""",218,3-Apr-91,2011
29,25,Dylan Moore,us US,Position,*,,27,R,R,"6' 0""",185,2-Aug-92,2014
30,26,Jose Marmolejos,us US,Position,*,,27,L,L,"6' 2""",239,2-Jan-93,2011
31,10,Tim Lopes,us US,Position,*,,26,R,R,"5' 11""",180,24-Jun-94,2012
32,4,Shed Long,us US,Position,*,,24,L,R,"5' 8""",184,22-Aug-95,2013
33,1,Kyle Lewis,us US,Position,*,,24,R,R,"6' 4""",205,13-Jul-95,2014
34,17,Mitch Haniger,us US,Position,*,,29,R,R,"6' 2""",199,23-Dec-90,2011
35,0,Sam Haggerty,us US,Position,*,,26,S,R,"5' 11""",175,26-May-94,2013
36,23,Ty France,us US,Position,*,,25,R,R,"5' 11""",217,13-Jul-94,2013
37,8,Jake Fraley,us US,Position,*,,25,L,L,"6' 0""",195,25-May-95,2014
38,27,Phil Ervin,us US,Position,*,,27,R,R,"5' 10""",207,15-Jul-92,2011
39,3,J.P. Crawford,us US,Position,*,,25,L,R,"6' 2""",199,11-Jan-95,2013
