Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,64,Shaun Anderson,us US,Pitcher,*,,25,R,R,"6' 4""",228,29-Oct-94,2014
2,62,Logan Webb,us US,Pitcher,*,,23,R,R,"6' 1""",220,18-Nov-96,2014
3,59,Andrew Suarez,us US,Pitcher,*,,27,L,L,"6' 0""",202,11-Sep-92,2012
4,67,Sam Selman,us US,Pitcher,*,,29,R,L,"6' 2""",198,14-Nov-90,2011
5,0,Gregory Santos,do DO,Pitcher,*,,20,R,R,"6' 2""",190,28-Aug-99,2016
6,71,Tyler Rogers,us US,Pitcher,*,,29,R,R,"6' 3""",181,17-Dec-90,2012
7,60,Wandy Peralta,do DO,Pitcher,*,,28,L,L,"6' 0""",217,27-Jul-91,2010
8,54,Reyes Moronta,do DO,Pitcher,*,,27,R,R,"5' 10""",265,6-Jan-93,2011
9,51,Conner Menez,us US,Pitcher,*,,25,L,L,"6' 2""",206,29-May-95,2016
10,58,Trevor Gott,us US,Pitcher,*,,27,R,R,"5' 10""",182,26-Aug-92,2011
11,34,Kevin Gausman,us US,Pitcher,*,,29,L,R,"6' 2""",190,6-Jan-91,2011
12,39,Rico Garcia,us US,Pitcher,*,,26,R,R,"5' 9""",201,10-Jan-94,2013
13,76,Jarlin Garcia,do DO,Pitcher,*,,27,L,L,"6' 3""",215,18-Jan-93,2011
14,0,Camilo Doval,do DO,Pitcher,*,,22,R,R,"6' 2""",180,4-Jul-97,2016
15,72,Melvin Adon,do DO,Pitcher,*,,26,L,R,"6' 3""",246,9-Jun-94,2015
16,47,Johnny Cueto,do DO,Pitcher,*,,34,R,R,"5' 11""",229,15-Feb-86,2005
17,31,Tyler Anderson,us US,Pitcher,*,,30,L,L,"6' 2""",213,30-Dec-89,2011
18,65,Sam Coonrod,us US,Pitcher,*,,27,R,R,"6' 1""",225,22-Sep-92,2012
19,0,Kervin Castro,ve VE,Pitcher,*,,21,R,R,"6' 0""",185,7-Feb-99,2016
20,73,Caleb Baragar,us US,Pitcher,*,,26,R,L,"6' 3""",215,9-Apr-94,2015
21,38,Tyler Beede,us US,Pitcher,*,,27,R,R,"6' 2""",216,23-May-93,2012
22,28,Buster Posey,us US,Position,*,,33,R,R,"6' 1""",213,27-Mar-87,2008
23,5,Mike Yastrzemski,us US,Position,*,,29,L,L,"5' 10""",178,23-Aug-90,2010
24,0,Jason Vosler,us US,Position,*,,26,L,R,"6' 1""",220,6-Sep-93,2012
25,14,Chadwick Tromp,aw AW,Position,*,,25,R,R,"5' 8""",221,21-Mar-95,2013
26,7,Donovan Solano,co CO,Position,*,,32,R,R,"5' 8""",210,17-Dec-87,2005
27,13,Austin Slater,us US,Position,*,,27,R,R,"6' 1""",204,13-Dec-92,2012
28,21,Joey Bart,us US,Position,*,,23,R,R,"6' 2""",238,15-Dec-96,2016
29,33,Darin Ruf,us US,Position,*,,33,R,R,"6' 2""",232,28-Jul-86,2009
30,61,Luis Alexander Basabe,ve VE,Position,*,,23,S,R,"6' 0""",180,26-Aug-96,2013
31,2,Daniel Robertson,us US,Position,*,,26,R,R,"5' 11""",210,22-Mar-94,2012
32,12,Alex Dickerson,us US,Position,*,,30,L,L,"6' 2""",226,26-May-90,2010
33,9,Brandon Belt,us US,Position,*,,32,L,L,"6' 3""",231,20-Apr-88,2010
34,0,Alexander Canario,do DO,Position,*,,20,R,R,"6' 1""",165,7-May-00,2017
35,10,Evan Longoria,us US,Position,*,,34,R,R,"6' 1""",213,7-Oct-85,2006
36,35,Brandon Crawford,us US,Position,*,,33,L,R,"6' 1""",223,21-Jan-87,2008
37,41,Wilmer Flores,ve VE,Position,*,,28,R,R,"6' 2""",213,6-Aug-91,2008
38,6,Steven Duggar,us US,Position,*,,26,L,R,"6' 1""",187,4-Nov-93,2013
39,1,Mauricio Dubon,hn HN,Position,*,,25,R,R,"6' 0""",173,19-Jul-94,2013
40,0,Jaylin Davis,us US,Position,*,,25,R,R,"5' 11""",205,1-Jul-94,2013
