Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,43,Dakota Hudson,us US,Pitcher,*,,25,R,R,"6' 5""",215,15-Sep-94,2014
2,40,Jake Woodford,us US,Pitcher,*,,23,R,R,"6' 4""",2125,28-Oct-96,2015
3,38,Kodi Whitley,us US,Pitcher,*,,25,R,R,"6' 3""",220,21-Feb-95,2014
4,30,Tyler Webb,us US,Pitcher,*,,29,L,L,"6' 5""",240,20-Jul-90,2011
5,0,Angel Rondon,do DO,Pitcher,*,,22,R,R,"6' 1""",205,1-Dec-97,2016
6,29,Alex Reyes,us US,Pitcher,*,,25,R,R,"6' 4""",220,29-Aug-94,2013
7,62,Daniel Ponce de Leon,us US,Pitcher,*,,28,R,R,"6' 3""",200,16-Jan-92,2011
8,59,Johan Oviedo,cu CU,Pitcher,*,,22,R,R,"6' 5""",245,2-Mar-98,2016
9,21,Andrew Miller,us US,Pitcher,*,,35,L,L,"6' 7""",200,21-May-85,2006
10,39,Miles Mikolas,us US,Pitcher,*,,31,R,R,"6' 4""",230,23-Aug-88,2009
11,18,Carlos Martinez,do DO,Pitcher,*,,28,R,R,"6' 0""",200,21-Sep-91,2010
12,33,Kwang Hyun Kim,kr KR,Pitcher,*,,31,L,L,"6' 2""",195,22-Jul-88,2007
13,12,Jordan Hicks,us US,Pitcher,*,,23,R,R,"6' 2""",220,6-Sep-96,2016
14,56,Ryan Helsley,us US,Pitcher,*,,25,R,R,"6' 2""",230,18-Jul-94,2014
15,36,Austin Gomber,us US,Pitcher,*,,26,L,L,"6' 5""",220,23-Nov-93,2012
16,53,John Gant,us US,Pitcher,*,,27,R,R,"6' 4""",200,6-Aug-92,2011
17,60,John Brebbia,us US,Pitcher,*,,30,L,R,"6' 1""",200,30-May-90,2010
18,92,Genesis Cabrera,do DO,Pitcher,*,,23,L,L,"6' 2""",180,10-Oct-96,2014
19,61,Seth Elledge,us US,Pitcher,*,,24,R,R,"6' 3""",240,20-May-96,2015
20,44,Junior Fernandez,do DO,Pitcher,*,,23,R,R,"6' 3""",215,2-Mar-97,2014
21,22,Jack Flaherty,us US,Pitcher,*,,24,R,R,"6' 4""",225,15-Oct-95,2014
22,65,Giovanny Gallegos,mx MX,Pitcher,*,,28,R,R,"6' 2""",215,14-Aug-91,2012
23,47,Rangel Ravelo,cu CU,Position,*,,28,R,R,"6' 1""",235,24-Apr-92,2010
24,46,Paul Goldschmidt,us US,Position,*,,32,R,R,"6' 3""",220,10-Sep-87,2009
25,26,Justin Williams,us US,Position,*,,24,L,R,"6' 1""",235,20-Aug-95,2013
26,0,Ivan Herrera,pa PA,Position,*,,20,R,R,"5' 11""",220,1-Jun-00,2017
27,3,Dylan Carlson,us US,Position,*,,21,S,L,"6' 2""",205,23-Oct-98,2016
28,35,Lane Thomas,us US,Position,*,,24,R,R,"6' 0""",185,23-Aug-95,2014
29,63,Edmundo Sosa,pa PA,Position,*,,24,R,R,"6' 0""",210,6-Mar-96,2013
30,13,Matt Carpenter,us US,Position,*,,34,L,R,"6' 4""",210,26-Nov-85,2009
31,0,Austin Dean,us US,Position,*,,26,R,R,"6' 0""",215,14-Oct-93,2012
32,7,Andrew Knizner,us US,Position,*,,25,R,R,"6' 1""",225,3-Feb-95,2014
33,11,Paul DeJong,us US,Position,*,,26,R,R,"6' 0""",205,2-Aug-93,2013
34,19,Tommy Edman,us US,Position,*,,25,S,R,"5' 10""",180,9-May-95,2014
35,41,Tyler O'Neill,ca CA,Position,*,,25,R,R,"5' 11""",200,22-Jun-95,2013
36,34,John Nogowski,us US,Position,*,,27,R,L,"6' 0""",245,5-Jan-93,2012
37,49,Elehuris Montero,do DO,Position,*,,21,R,R,"6' 3""",235,17-Aug-98,2015
38,48,Harrison Bader,us US,Position,*,,26,R,R,"6' 0""",210,3-Jun-94,2013
39,25,Dexter Fowler,us US,Position,*,,34,S,R,"6' 5""",205,22-Mar-86,2005
