Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,39,Kolby Allard,us US,Pitcher,*,,22,L,L,"6' 1""",195,13-Aug-97,2015
2,62,Joe Palumbo,us US,Pitcher,*,,25,L,L,"6' 0""",195,26-Oct-94,2013
3,48,Rafael Montero,do DO,Pitcher,*,,29,R,R,"6' 0""",190,17-Oct-90,2011
4,59,Brett Martin,us US,Pitcher,*,,25,L,L,"6' 4""",200,28-Apr-95,2014
5,35,Lance Lynn,us US,Pitcher,*,,33,S,R,"6' 5""",250,12-May-87,2008
6,24,Jordan Lyles,us US,Pitcher,*,,29,R,R,"6' 5""",230,19-Oct-90,2008
7,25,Jose Leclerc,do DO,Pitcher,*,,26,R,R,"6' 0""",195,19-Dec-93,2011
8,79,John King,us US,Pitcher,*,,25,L,L,"6' 2""",215,14-Sep-94,2016
9,80,Tyler Phillips,us US,Pitcher,*,,22,R,R,"6' 5""",225,27-Oct-97,2015
10,57,Joely Rodriguez,do DO,Pitcher,*,,28,L,L,"6' 1""",200,14-Nov-91,2009
11,72,Jonathan Hernandez,us US,Pitcher,*,,23,R,R,"6' 3""",190,6-Jul-96,2013
12,64,Jimmy Herget,us US,Pitcher,*,,26,R,R,"6' 3""",170,9-Sep-93,2013
13,0,Yerry Rodriguez,do DO,Pitcher,*,,22,R,R,"6' 2""",198,15-Oct-97,2016
14,52,Taylor Hearn,us US,Pitcher,*,,25,L,L,"6' 6""",230,30-Aug-94,2015
15,44,Kyle Gibson,us US,Pitcher,*,,32,R,R,"6' 6""",215,23-Oct-87,2010
16,67,Demarcus Evans,us US,Pitcher,*,,23,R,R,"6' 5""",265,22-Oct-96,2015
17,73,Kyle Cody,us US,Pitcher,*,,25,R,R,"6' 7""",225,9-Aug-94,2013
18,70,Brock Burke,us US,Pitcher,*,,23,L,L,"6' 4""",210,4-Aug-96,2014
19,75,Wes Benjamin,us US,Pitcher,*,,26,R,L,"6' 2""",210,26-Jul-93,2012
20,0,Art Warren,us US,Pitcher,*,,27,R,R,"6' 3""",230,23-Mar-93,2012
21,0,A.J. Alexy,us US,Pitcher,*,,22,R,R,"6' 4""",195,21-Apr-98,2016
22,38,Danny Santana,do DO,Position,*,,29,S,R,"5' 11""",195,7-Nov-90,2008
23,15,Nick Solak,us US,Position,*,,25,R,R,"5' 11""",185,11-Jan-95,2014
24,65,Leody Taveras,do DO,Position,*,,21,S,R,"6' 2""",195,8-Sep-98,2016
25,71,Anderson Tejeda,do DO,Position,*,,22,S,R,"6' 0""",200,1-May-98,2015
26,56,Jose Trevino,us US,Position,*,,27,R,R,"5' 11""",210,28-Nov-92,2012
27,76,Eli White,us US,Position,*,,26,R,R,"6' 3""",195,26-Jun-94,2014
28,12,Rougned Odor,ve VE,Position,*,,26,L,R,"5' 11""",200,3-Feb-94,2011
29,9,Isiah Kiner-Falefa,us US,Position,*,,25,R,R,"5' 11""",190,23-Mar-95,2013
30,74,Sam Huff,us US,Position,*,,22,R,R,"6' 5""",240,14-Jan-98,2016
31,0,Scott Heineman,us US,Position,*,,27,R,R,"6' 1""",205,4-Dec-92,2012
32,11,Ronald Guzman,do DO,Position,*,,25,L,L,"6' 5""",235,20-Oct-94,2012
33,0,David Garcia,ve VE,Position,*,,20,S,R,"5' 11""",170,6-Feb-00,2017
34,53,Adolis García,cu CU,Position,*,,27,R,R,"6' 1""",205,2-Mar-93,2011
35,13,Joey Gallo,us US,Position,*,,26,L,R,"6' 5""",250,19-Nov-93,2012
36,5,Willie Calhoun,us US,Position,*,,25,L,R,"5' 8""",200,4-Nov-94,2014
37,82,Sherten Apostel,cw CW,Position,*,,21,R,R,"6' 4""",235,11-Mar-99,2016
38,1,Elvis Andrus,ve VE,Position,*,,31,R,R,"6' 0""",210,26-Aug-88,2005
