Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,35,T.J. Zeuch,us US,Pitcher,*,,24,R,R,"6' 7""",245,1-Aug-95,2014
2,24,Nate Pearson,us US,Pitcher,*,,23,R,R,"6' 6""",250,20-Aug-96,2016
3,66,Patrick Murphy,us US,Pitcher,*,,25,R,R,"6' 5""",235,10-Jun-95,2014
4,64,Hector Perez,do DO,Pitcher,*,,24,R,R,"6' 3""",223,6-Jun-96,2015
5,67,Julian Merryweather,us US,Pitcher,*,,28,R,R,"6' 4""",215,14-Oct-91,2014
6,38,Robbie Ray,us US,Pitcher,*,,28,L,L,"6' 2""",215,1-Oct-91,2010
7,65,Elvis Luciano,do DO,Pitcher,*,,20,R,R,"6' 3""",210,15-Feb-00,2017
8,54,Sean Reid-Foley,gu GU,Pitcher,*,,24,R,R,"6' 3""",230,30-Aug-95,2014
9,14,Tanner Roark,us US,Pitcher,*,,33,R,R,"6' 2""",238,5-Oct-86,2008
10,47,Anthony Kay,us US,Pitcher,*,,25,L,L,"6' 0""",225,21-Mar-95,2014
11,68,Jordan Romano,ca CA,Pitcher,*,,27,R,R,"6' 5""",225,21-Apr-93,2014
12,99,Hyun Jin Ryu,kr KR,Pitcher,*,,33,R,L,"6' 3""",255,25-Mar-87,2006
13,31,Tom Hatch,us US,Pitcher,*,,25,R,R,"6' 1""",205,29-Sep-94,2014
14,48,Ross Stripling,us US,Pitcher,*,,30,R,R,"6' 3""",220,23-Nov-89,2011
15,57,Trent Thornton,us US,Pitcher,*,,26,R,R,"6' 0""",195,30-Sep-93,2013
16,0,Ty Tice,us US,Pitcher,*,,23,L,R,"5' 9""",185,4-Jul-96,2015
17,41,Rafael Dolis,do DO,Pitcher,*,,32,R,R,"6' 4""",235,10-Jan-88,2006
18,59,Yennsy Diaz,do DO,Pitcher,*,,23,R,R,"6' 1""",210,15-Nov-96,2015
19,62,Jacob Waguespack,us US,Pitcher,*,,26,R,R,"6' 6""",235,5-Nov-93,2013
20,36,A.J. Cole,us US,Pitcher,*,,28,R,R,"6' 5""",240,5-Jan-92,2010
21,56,Ryan Borucki,us US,Pitcher,*,,26,L,L,"6' 4""",215,31-Mar-94,2012
22,1,Shun Yamaguchi,jp JP,Pitcher,*,,32,R,R,"6' 2""",225,11-Jul-87,2006
23,6,Travis Shaw,us US,Position,*,,30,L,R,"6' 4""",230,16-Apr-90,2010
24,44,Rowdy Tellez,us US,Position,*,,25,L,L,"6' 4""",255,16-Mar-95,2013
25,10,Reese McGuire,us US,Position,*,,25,L,R,"6' 0""",215,2-Mar-95,2013
26,0,Josh Palacios,us US,Position,*,,24,L,R,"6' 1""",198,30-Jul-95,2016
27,0,Gabriel Moreno,ve VE,Position,*,,20,R,R,"5' 11""",160,14-Feb-00,2017
28,0,Riley Adams,us US,Position,*,,24,R,R,"6' 4""",235,26-Jun-96,2015
29,0,Otto Lopez,do DO,Position,*,,21,R,R,"5' 10""",160,1-Oct-98,2017
30,85,Alejandro Kirk,mx MX,Position,*,,21,R,R,"5' 8""",265,6-Nov-98,2017
31,9,Danny Jansen,us US,Position,*,,25,R,R,"6' 2""",225,15-Apr-95,2013
32,37,Teoscar Hernandez,do DO,Position,*,,27,R,R,"6' 2""",205,15-Oct-92,2011
33,13,Lourdes Gurriel Jr.,cu CU,Position,*,,26,R,R,"6' 4""",215,10-Oct-93,2010
34,27,Vladimir Guerrero Jr.,ca CA,Position,*,,21,R,R,"6' 2""",250,16-Mar-99,2016
35,15,Randal Grichuk,us US,Position,*,,28,R,R,"6' 2""",216,13-Aug-91,2009
36,23,Derek Fisher,us US,Position,*,,26,L,R,"6' 3""",215,21-Aug-93,2012
37,5,Santiago Espinal,do DO,Position,*,,25,R,R,"5' 10""",181,13-Nov-94,2016
38,49,Jonathan Davis,us US,Position,*,,28,R,R,"5' 8""",190,12-May-92,2011
39,8,Cavan Biggio,us US,Position,*,,25,L,R,"6' 2""",200,11-Apr-95,2014
40,11,Bo Bichette,us US,Position,*,,22,R,R,"6' 0""",185,5-Mar-98,2016
