Rk,Uni,Name,,,OnActv,IL,Age,B,T,Ht,Wt,DoB,1stYr
1,37,Stephen Strasburg,us US,Pitcher,*,,31,R,R,"6' 5""",235,20-Jul-88,2009
2,56,Seth Romero,us US,Pitcher,*,,24,L,L,"6' 3""",240,19-Apr-96,2015
3,21,Tanner Rainey,us US,Pitcher,*,,27,R,R,"6' 2""",235,25-Dec-92,2012
4,41,Joe Ross,us US,Pitcher,*,,27,R,R,"6' 4""",220,21-May-93,2011
5,61,Kyle McGowin,us US,Pitcher,*,,28,R,R,"6' 3""",195,27-Nov-91,2011
6,31,Max Scherzer,us US,Pitcher,*,,35,R,R,"6' 3""",215,27-Jul-84,2007
7,44,Daniel Hudson,us US,Pitcher,*,,33,R,R,"6' 3""",215,9-Mar-87,2008
8,0,Joan Adon,do DO,Pitcher,*,,21,R,R,"6' 2""",185,12-Aug-98,2017
9,36,Will Harris,us US,Pitcher,*,,35,R,R,"6' 4""",240,28-Aug-84,2006
10,33,Ryne Harper,us US,Pitcher,*,,31,R,R,"6' 3""",215,27-Mar-89,2011
11,58,Steven Fuentes,pa PA,Pitcher,*,,23,R,R,"6' 2""",175,4-May-97,2014
12,67,Kyle Finnegan,us US,Pitcher,*,,28,R,R,"6' 2""",200,4-Sep-91,2011
13,23,Erick Fedde,us US,Pitcher,*,,27,R,R,"6' 4""",200,25-Feb-93,2012
14,57,Wil Crowe,us US,Pitcher,*,,25,R,R,"6' 2""",228,9-Sep-94,2014
15,46,Patrick Corbin,us US,Pitcher,*,,30,L,L,"6' 3""",210,19-Jul-89,2009
16,49,Samuel Clay,us US,Pitcher,*,,27,L,L,"6' 2""",190,21-Jun-93,2013
17,51,Wander Suero,do DO,Pitcher,*,,28,R,R,"6' 4""",211,15-Sep-91,2010
18,59,Ben Braymer,us US,Pitcher,*,,26,L,L,"6' 2""",220,28-Apr-94,2016
19,55,Dakota Bacus,us US,Pitcher,*,,29,R,R,"6' 2""",220,2-Apr-91,2012
20,50,Austin Voth,us US,Pitcher,*,,28,R,R,"6' 2""",210,26-Jun-92,2011
21,5,Josh Harrison,us US,Position,*,,32,R,R,"5' 8""",190,8-Jul-87,2008
22,17,Andrew Stevenson,us US,Position,*,,26,L,L,"6' 0""",192,1-Jun-94,2013
23,22,Juan Soto,do DO,Position,*,,21,L,L,"6' 1""",220,25-Oct-98,2016
24,7,Trea Turner,us US,Position,*,,27,R,R,"6' 2""",185,30-Jun-93,2012
25,16,Victor Robles,do DO,Position,*,,23,R,R,"6' 0""",205,19-May-97,2014
26,18,Jake Noll,us US,Position,*,,26,R,R,"6' 2""",215,8-Mar-94,2014
27,8,Carter Kieboom,us US,Position,*,,22,R,R,"6' 2""",210,3-Sep-97,2016
28,29,Yadiel Hernández,cu CU,Position,*,,32,L,R,"5' 9""",185,9-Oct-87,2009
29,10,Yan Gomes,br BR,Position,*,,32,R,R,"6' 2""",215,19-Jul-87,2009
30,12,Luis Garcia,us US,Position,*,,20,L,R,"6' 2""",211,16-May-00,2017
31,14,Starlin Castro,do DO,Position,*,,30,R,R,"6' 2""",220,24-Mar-90,2007
32,38,Tres Barrera,us US,Position,*,,25,R,R,"6' 0""",215,15-Sep-94,2014
33,0,Yasel Antuna,do DO,Position,*,,20,S,R,"6' 0""",170,26-Oct-99,2017
