Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
1.0,C,Mike Piazza,37.0,126.0,439.0,399.0,39.0,113.0,19.0,1.0,22.0,68.0,0.0,0.0,34.0,66.0,0.28300000000000003,0.342,0.501,0.843,122.0,200.0,13.0,3.0,0.0,3.0,2.0,2006
2.0,1B,Adrian Gonzalez*,24.0,156.0,631.0,570.0,83.0,173.0,38.0,1.0,24.0,82.0,0.0,1.0,52.0,113.0,0.304,0.36200000000000004,0.5,0.862,127.0,285.0,24.0,3.0,1.0,5.0,9.0,2006
3.0,2B,Josh Barfield,23.0,150.0,578.0,539.0,72.0,151.0,32.0,3.0,13.0,58.0,21.0,5.0,30.0,81.0,0.28,0.318,0.423,0.741,96.0,228.0,8.0,2.0,2.0,5.0,7.0,2006
4.0,SS,Khalil Greene,26.0,121.0,460.0,412.0,56.0,101.0,26.0,2.0,15.0,55.0,5.0,1.0,39.0,87.0,0.245,0.32,0.42700000000000005,0.747,97.0,176.0,15.0,7.0,0.0,2.0,0.0,2006
5.0,3B,Vinny Castilla,38.0,72.0,269.0,254.0,24.0,59.0,10.0,0.0,4.0,23.0,0.0,0.0,9.0,46.0,0.23199999999999998,0.26,0.319,0.579,54.0,81.0,5.0,2.0,0.0,4.0,0.0,2006
6.0,LF,Dave Roberts*,34.0,129.0,567.0,499.0,80.0,146.0,18.0,13.0,2.0,44.0,49.0,6.0,51.0,61.0,0.293,0.36,0.39299999999999996,0.752,101.0,196.0,5.0,4.0,7.0,5.0,2.0,2006
7.0,CF,Mike Cameron,33.0,141.0,634.0,552.0,88.0,148.0,34.0,9.0,22.0,83.0,25.0,9.0,71.0,142.0,0.268,0.355,0.48200000000000004,0.8370000000000001,121.0,266.0,8.0,6.0,0.0,5.0,2.0,2006
8.0,RF,Brian Giles*,35.0,158.0,717.0,604.0,87.0,159.0,37.0,1.0,14.0,83.0,9.0,4.0,104.0,60.0,0.263,0.374,0.397,0.7709999999999999,107.0,240.0,18.0,5.0,0.0,4.0,6.0,2006
1.0,C,Terry Kennedy*,30.0,141.0,476.0,432.0,46.0,114.0,22.0,1.0,12.0,57.0,0.0,3.0,37.0,74.0,0.264,0.324,0.40299999999999997,0.727,102.0,174.0,10.0,2.0,4.0,1.0,7.0,1986
2.0,1B,Steve Garvey,37.0,155.0,584.0,557.0,58.0,142.0,22.0,0.0,21.0,81.0,1.0,2.0,23.0,72.0,0.255,0.284,0.408,0.6920000000000001,91.0,227.0,18.0,1.0,0.0,3.0,5.0,1986
